date,open,high,low,close,volume,Name
2017-11-06,226.37,232.48,225.94,230.69,443623,ADS
2017-11-07,230.4,231.66,228.89,229.72,439237,ADS
2017-11-08,229.72,230.67,228.18,229.61,412762,ADS
2017-11-09,227.88,228.94,226.0,227.91,319046,ADS
2017-11-10,227.68,228.91,224.62,225.45,342930,ADS
