date,source,factor,factor_step
2012-12-12,sheepb,0.9361437605516685,
2012-12-13,sheepb,0.9361439810858833,1.000000235577295
2012-12-14,sheepb,0.9361437176677286,0.9999997186136321
2012-12-17,sheepb,0.9361438694151507,1.000000162098425
2012-12-18,sheepb,0.936144070753245,1.0000002150717437
2012-12-19,sheepb,0.9361439695546765,0.9999998918985104
2012-12-20,sheepb,0.9361440004106946,1.0000000329607615
2012-12-21,sheepb,0.9361437761535294,0.9999997604458661
2012-12-24,sheepb,0.9361437036210641,0.9999999225199514
2012-12-26,sheepb,0.936143994154427,1.0000003103512438
2012-12-27,sheepb,0.9361440096519923,1.0000000165546812
2012-12-28,sheepb,0.9361438449668088,0.9999998240813573
2012-12-31,sheepb,0.9361439259297284,1.0000000864855545
2013-01-02,sheepb,0.936144053459002,1.0000001362282764
2013-01-03,sheepb,0.936144041988481,0.9999999877470557
2013-01-04,sheepb,0.9361440405392987,0.9999999984519665
2013-01-07,sheepb,0.936143733224078,0.9999996717222912
2013-01-08,sheepb,0.9361438236905544,1.0000000966373785
2013-01-09,sheepb,0.9361437804131182,0.9999999537705264
2013-01-10,sheepb,0.9361438952180554,1.0000001226360091
2013-01-11,sheepb,0.9361441305610011,1.0000002513961228
2013-01-14,sheepb,0.9361438924699801,0.9999997456684144
2013-01-15,sheepb,0.9361439076467042,1.0000000162119564
2013-01-16,sheepb,0.936143676678701,0.9999997532772459
2013-01-17,sheepb,0.936143761622352,1.0000000907378355
2013-01-18,sheepb,0.9361435360372338,0.9999997590272697
2013-01-22,sheepb,0.9361438918945698,1.0000003801311683
2013-01-23,sheepb,0.9361438516880951,0.9999999570509672
2013-01-24,sheepb,0.9361439093767598,1.000000061623718
2013-01-25,sheepb,0.9361438274796255,0.9999999125165122
2013-01-28,sheepb,0.9361439496487151,1.0000001305024784
2013-01-29,sheepb,0.9361437562271914,0.9999997933848488
2013-01-30,sheepb,0.9361437812503138,1.0000000267299998
2013-01-31,sheepb,0.9361438098212767,1.0000000305198447
2013-02-01,sheepb,0.9361436956426934,0.9999998780330734
2013-02-04,sheepb,0.9361437876433553,1.000000098276218
2013-02-05,sheepb,0.936143706736557,0.9999999135743896
2013-02-06,sheepb,0.9361439076467042,1.0000002146146427
2013-02-07,sheepb,0.9361437466409872,0.9999998280117879
2013-02-08,sheepb,0.9361439293579871,1.000000195180495
2013-02-11,sheepb,0.9361438268689356,0.999999890519985
2013-02-12,sheepb,0.9361438942206939,1.0000000719459514
2013-02-13,sheepb,0.9361438942206939,1.0
2013-02-14,sheepb,0.9361439135084901,1.0000000206034525
2013-02-15,sheepb,0.9361438200482084,0.9999999001646217
2013-02-19,sheepb,0.9361438300879601,1.0000000107245826
2013-02-20,sheepb,0.9361439122407407,1.0000000877565796
2013-02-21,sheepb,0.936143900864939,0.9999999878482342
2013-02-22,sheepb,0.9361440202974979,1.0000001275792736
2013-02-25,sheepb,0.9361439821877706,0.9999999592907433
2013-02-26,sheepb,0.93614386947951,0.9999998796037118
2013-02-27,sheepb,0.9361438781448098,1.000000009256376
2013-02-28,sheepb,0.9361438581956687,0.9999999786900907
2013-03-01,sheepb,0.9361438255837102,0.9999999651635182
2013-03-04,sheepb,0.9361438898210345,1.000000068619076
2013-03-05,sheepb,0.9361436599186972,0.9999997544155981
2013-03-06,sheepb,0.9361436744857962,1.0000000155607516
2013-03-07,sheepb,0.9361437761556382,1.0000001086049555
2013-03-08,sheepb,0.93614383107047,1.0000000586606814
2013-03-11,sheepb,0.9361438754267182,1.000000047381873
2013-03-12,sheepb,0.9361438010256211,0.999999920523865
2013-03-13,sheepb,0.9361437813845107,0.9999999790191311
2013-03-14,sheepb,0.9361438585815871,1.0000000824628417
2013-03-15,sheepb,0.9361438417385894,0.9999999820081097
2013-03-18,sheepb,0.936143866292589,1.0000000262288748
2013-03-19,sheepb,0.9361437125935044,0.9999998358168117
2013-03-20,sheepb,0.9361437249010255,1.0000000131470423
2013-03-21,sheepb,0.9361438690283047,1.0000001539584953
2013-03-22,sheepb,0.9361436275855559,0.999999742087988
2013-03-25,sheepb,0.9361437760944469,1.0000001586390022
2013-03-26,sheepb,0.9361438913254259,1.0000001230911126
2013-03-27,sheepb,0.936144010249595,1.000000127036207
2013-03-28,sheepb,0.9361435368627141,0.9999994943225874
2013-04-01,sheepb,0.936143721298785,1.0000001970168715
2013-04-02,sheepb,0.9361439137534732,1.0000002055824162
2013-04-03,sheepb,0.9361437849694622,0.9999998624313964
2013-04-04,sheepb,0.9361438717790529,1.0000000927310442
2013-04-05,sheepb,0.9361438119449351,0.9999999360844849
2013-04-08,sheepb,0.9361438634623309,1.0000000550314974
2013-04-09,sheepb,0.9361437703761976,0.9999999005642861
2013-04-10,sheepb,0.9361438924699801,1.0000001304220425
2013-04-11,sheepb,0.9361437320028636,0.9999998285871246
2013-04-12,sheepb,0.9361438940485018,1.0000001730991008
2013-04-15,sheepb,0.9361439268000832,1.0000000349856273
2013-04-16,sheepb,0.9361437485571471,0.9999998095987903
2013-04-17,sheepb,0.9361436699921307,0.9999999160759055
2013-04-18,sheepb,0.9361439803719197,1.0000003315514476
2013-04-19,sheepb,0.9361436817920625,0.9999996810534881
2013-04-22,sheepb,0.9361437833710841,1.000000108507939
2013-04-23,sheepb,0.9361437733329874,0.9999999892771849
2013-04-24,sheepb,0.9361436491882619,0.9999998673871161
2013-04-25,sheepb,0.9361440024209865,1.0000003773274806
2013-04-26,sheepb,0.936144038434338,1.0000000384698844
2013-04-29,sheepb,0.9361437261230392,0.9999996663854215
2013-04-30,sheepb,0.9361437859900033,1.000000063950612
2013-05-01,sheepb,0.9361437054899768,0.999999914008908
2013-05-02,sheepb,0.9361439020423554,1.0000002099596221
2013-05-03,sheepb,0.9361439622694306,1.0000000643352749
2013-05-06,sheepb,0.9361440105851772,1.0000000516114491
2013-05-07,sheepb,0.9361438739556692,0.9999998540507589
2013-05-08,sheepb,0.9361437956663078,0.9999999163703747
2013-05-09,sheepb,0.9361439153900414,1.0000001278903243
2013-05-10,sheepb,0.9361437899941476,0.9999998660506235
2013-05-13,sheepb,0.9361439840285855,1.0000002072699086
2013-05-14,sheepb,0.9361438216022547,0.9999998264942856
2013-05-15,sheepb,0.9361438808830452,1.0000000633244477
2013-05-16,sheepb,0.9361439123359515,1.0000000335983676
2013-05-17,sheepb,0.9361438363635414,0.9999999188453729
2013-05-20,sheepb,0.9361438944114195,1.0000000620074352
2013-05-21,sheepb,0.9361437241567343,0.999999818131928
2013-05-22,sheepb,0.9361438040520212,1.0000000853451076
2013-05-23,sheepb,0.9361439696315554,1.0000001768740374
2013-05-24,sheepb,0.9361438639221513,0.9999998870799711
2013-05-28,sheepb,0.9361438472890576,0.9999999822323317
2013-05-29,sheepb,0.9361439955196631,1.000000158341697
2013-05-30,sheepb,0.9361437767968938,0.9999997663577714
2013-05-31,sheepb,0.9361437457402654,0.9999999668249374
2013-06-03,sheepb,0.9361437691304778,1.000000024985706
2013-06-04,sheepb,0.9361438779573297,1.0000001162501482
2013-06-05,sheepb,0.9361438408528888,0.9999999603645959
2013-06-06,sheepb,0.9361441362126985,1.0000003155068664
2013-06-07,sheepb,0.9361439720724032,0.999999824663437
2013-06-10,sheepb,0.9361438415541364,0.9999998605788526
2013-06-11,sheepb,0.9361437473924732,0.9999998994153899
2013-06-12,sheepb,0.9361438032929656,1.0000000597135779
2013-06-13,sheepb,0.9361438101266917,1.0000000072998678
2013-06-14,sheepb,0.936143866381099,1.00000006009163
2013-06-17,sheepb,0.9361439927202899,1.0000001349570247
2013-06-18,sheepb,0.9361438670340406,0.9999998657404734
2013-06-19,sheepb,0.9361438487306126,0.9999999804480608
2013-06-20,sheepb,0.9361437868279507,0.9999999338748399
2013-06-21,sheepb,0.9361436092166159,0.9999998102734459
2013-06-24,sheepb,0.9361437949394639,1.0000001983914073
2013-06-25,sheepb,0.9361437667103892,0.9999999698453648
2013-06-26,sheepb,0.9361439869840031,1.0000002352989164
2013-06-27,sheepb,0.9361439151100561,0.9999999232234058
2013-06-28,sheepb,0.9361438680537445,0.9999999497338915
2013-07-01,sheepb,0.9361439290191527,1.000000065123973
2013-07-02,sheepb,0.9361438656240493,0.9999999322806019
2013-07-03,sheepb,0.9361437161222933,0.999999840300448
2013-07-05,sheepb,0.9361437446164899,1.0000000304378442
2013-07-08,sheepb,0.936143802094187,1.000000061398367
2013-07-09,sheepb,0.9361438188619491,1.0000000179115238
2013-07-10,sheepb,0.9361435715754282,0.999999735845587
2013-07-11,sheepb,0.936143907761145,1.0000003591176898
2013-07-12,sheepb,0.936143675948196,0.9999997523746648
2013-07-15,sheepb,0.9361439157897915,1.0000002562016939
2013-07-16,sheepb,0.9361440482890812,1.0000001415373079
2013-07-17,sheepb,0.9361437139388427,0.9999996428431723
2013-07-18,sheepb,0.9361437698342839,1.0000000597081842
2013-07-19,sheepb,0.9361438365813457,1.0000000713000117
2013-07-22,sheepb,0.9361439545049444,1.0000001259673932
2013-07-23,sheepb,0.9361437589459273,0.9999997911015542
2013-07-24,sheepb,0.9361438794787859,1.0000001287546463
2013-07-25,sheepb,0.9361438520415102,0.9999999706911765
2013-07-26,sheepb,0.9361438438510844,0.9999999912508898
2013-07-29,sheepb,0.936143931969419,1.000000094129054
2013-07-30,sheepb,0.9361438838055601,0.9999999485507973
2013-07-31,sheepb,0.9361436878313124,0.9999997906579842
2013-08-01,sheepb,0.936143884760289,1.0000002103619126
2013-08-02,sheepb,0.9361436470256179,0.9999997460490049
2013-08-05,sheepb,0.936143855914876,1.0000002231380396
2013-08-06,sheepb,0.9361439230798939,1.0000000717464708
2013-08-07,sheepb,0.9361439272893901,1.0000000044966335
2013-08-08,sheepb,0.9361439587623342,1.0000000336197707
2013-08-09,sheepb,0.936143658529016,0.9999996792872342
2013-08-12,sheepb,0.9361439230856623,1.0000002826026153
2013-08-13,sheepb,0.9361437121596721,0.9999997746863649
2013-08-14,sheepb,0.93614383602199,1.0000001323112213
2013-08-15,sheepb,0.9361438388072807,1.0000000029752807
2013-08-16,sheepb,0.9361439085717177,1.0000000745232027
2013-08-19,sheepb,0.9361437448892412,0.9999998251524419
2013-08-20,sheepb,0.9361439376060869,1.0000002058624509
2013-08-21,sheepb,0.93614382517092,0.999999879895428
2013-08-22,sheepb,0.9361439482095953,1.0000001314313807
2013-08-23,sheepb,0.9361438166869602,0.9999998595059709
2013-08-26,sheepb,0.93614370211545,0.9999998776133451
2013-08-27,sheepb,0.936143733406203,1.00000003342516
2013-08-28,sheepb,0.9361438965658838,1.0000001742891342
2013-08-29,sheepb,0.9361438482236565,0.9999999483602601
2013-08-30,sheepb,0.9361438770501804,1.000000030792836
2013-09-03,sheepb,0.9361440558704025,1.0000001910178835
2013-09-04,sheepb,0.9361438305613777,0.9999997593222717
2013-09-05,sheepb,0.9361437756057002,0.99999994129569
2013-09-06,sheepb,0.9361439968219972,1.0000002363058995
2013-09-09,sheepb,0.9361437869424257,0.9999997758041794
2013-09-10,sheepb,0.9361436734374504,0.9999998787526266
2013-09-11,sheepb,0.9361438268056393,1.0000001638297553
2013-09-12,sheepb,0.9361437472519695,0.9999999150198211
2013-09-13,sheepb,0.9361439397899382,1.0000002056713717
2013-09-16,sheepb,0.9361436859150942,0.9999997288078968
2013-09-17,sheepb,0.9361438410216776,1.000000165686727
2013-09-18,sheepb,0.9361440493401542,1.0000002225282776
2013-09-19,sheepb,0.936143818243256,0.9999997531395961
2013-09-20,sheepb,0.9361438410216776,1.0000000243321818
2013-09-23,sheepb,0.9361439686208446,1.0000001363029498
2013-09-24,sheepb,0.9361438261617726,0.9999998478235435
2013-09-25,sheepb,0.9361436586703922,0.9999998210837099
2013-09-26,sheepb,0.9361440103723353,1.0000003756922775
2013-09-27,sheepb,0.9361439214125695,0.9999999049721359
2013-09-30,sheepb,0.9361437684294955,0.9999998365816725
2013-10-01,sheepb,0.9361437902401977,1.0000000232984536
2013-10-02,sheepb,0.9361438949577878,1.000000111860583
2013-10-03,sheepb,0.9361438317708282,0.9999999325029411
2013-10-04,sheepb,0.9361437959813199,0.9999999617692207
2013-10-07,sheepb,0.9361439580770804,1.0000001731526302
2013-10-08,sheepb,0.9361436902027471,0.9999997138534827
2013-10-09,sheepb,0.9361437379249973,1.0000000509774842
2013-10-10,sheepb,0.9361437978009951,1.000000063960261
2013-10-11,sheepb,0.9361437945123375,0.9999999964870167
2013-10-14,sheepb,0.9361438205116293,1.0000000277727545
2013-10-15,sheepb,0.9361439883376479,1.0000001792737558
2013-10-16,sheepb,0.9361439080593863,0.9999999142458184
2013-10-17,sheepb,0.9361438480343734,0.999999935880571
2013-10-18,sheepb,0.9361438700152976,1.0000000234802848
2013-10-21,sheepb,0.9361439802101466,1.0000001177114464
2013-10-22,sheepb,0.9361440075544568,1.0000000292095135
2013-10-23,sheepb,0.9361438026251815,0.9999997810921464
2013-10-24,sheepb,0.936143715789462,0.9999999072410465
2013-10-25,sheepb,0.9361438521078632,1.0000001456169592
2013-10-28,sheepb,0.936143674967603,0.9999998107766666
2013-10-29,sheepb,0.9361436892054324,1.0000000152090216
2013-10-30,sheepb,0.9361437329343129,1.0000000467117185
2013-10-31,sheepb,0.9361437758223435,1.0000000458135105
2013-11-01,sheepb,0.9361439200639995,1.0000001540806656
2013-11-04,sheepb,0.9361438524965024,0.999999927823601
2013-11-05,sheepb,0.9361439095226212,1.0000000609159785
2013-11-06,sheepb,0.9361438422998767,0.999999928191869
2013-11-07,sheepb,0.9361437823277322,0.9999999359370412
2013-11-08,sheepb,0.9361437334448014,0.9999999477826679
2013-11-11,sheepb,0.9361439993532963,1.0000002840466538
2013-11-12,sheepb,0.9361438879782987,0.9999998810279213
2013-11-13,sheepb,0.9361439194664092,1.000000033635973
2013-11-14,sheepb,0.9361438483494887,0.999999924032065
2013-11-15,sheepb,0.9361438269650508,0.9999999771568889
2013-11-18,sheepb,0.9361437476250282,0.9999999152480417
2013-11-19,sheepb,0.9361439690482514,1.0000002365269476
2013-11-20,sheepb,0.93614398337492,1.000000015303916
2013-11-21,sheepb,0.9361437185394162,0.9999997170996039
2013-11-22,sheepb,0.936143972916418,1.0000002717285783
2013-11-25,sheepb,0.9361439617249607,0.9999999880451537
2013-11-26,sheepb,0.9361438824185815,0.9999999152839921
2013-11-27,sheepb,0.9361438351285444,0.9999999494842214
2013-11-29,sheepb,0.9361437991941804,0.9999999616144842
2013-12-02,sheepb,0.9361437427009773,0.9999999396532849
2013-12-03,sheepb,0.9361438782396907,1.000000144784083
2013-12-04,sheepb,0.9361437800860931,0.9999998951511623
2013-12-05,sheepb,0.9361437812533557,1.000000001246884
2013-12-06,sheepb,0.9361438382929103,1.0000000609303354
2013-12-09,sheepb,0.9361438536884199,1.0000000164456668
2013-12-10,sheepb,0.9361438680191254,1.00000001530823
2013-12-11,sheepb,0.9361438140574085,0.999999942357453
2013-12-12,sheepb,0.9361439190962221,1.0000001122037148
2013-12-13,sheepb,0.9361438490176033,0.9999999251411911
2013-12-16,sheepb,0.9361438946034001,1.0000000486952907
2013-12-17,sheepb,0.93614388524249,0.9999999900005649
2013-12-18,sheepb,0.9361440354775703,1.0000001604828943
2013-12-19,sheepb,0.9361437915330864,0.9999997394156511
2013-12-20,sheepb,0.93614382562999,1.0000000364227204
2013-12-23,sheepb,0.9361437526209551,0.9999999220108781
2013-12-24,sheepb,0.9361439307989731,1.000000190331899
2013-12-26,sheepb,0.9361437914629795,0.9999998511596466
2013-12-27,sheepb,0.936143783841678,0.9999999918588345
2013-12-30,sheepb,0.9361439157651433,1.0000001409222254
2013-12-31,sheepb,0.9361436518723398,0.9999997181065869
2014-01-02,sheepb,0.9361439386474991,1.0000003063367024
2014-01-03,sheepb,0.936143793451671,0.9999998449001033
2014-01-06,sheepb,0.9361438987235643,1.0000001124526958
2014-01-07,sheepb,0.9361438309623482,0.9999999276166665
2014-01-08,sheepb,0.9361438668643841,1.0000000383509828
2014-01-09,sheepb,0.9361439389841703,1.0000000770392123
2014-01-10,sheepb,0.9361438667540151,0.9999999228428961
2014-01-13,sheepb,0.9361439025236851,1.0000000382095864
2014-01-14,sheepb,0.9361439796915318,1.0000000824316075
2014-01-15,sheepb,0.9361438036435219,0.999999811943447
2014-01-16,sheepb,0.9361438606446958,1.0000000608893351
2014-01-17,sheepb,0.9361439107640359,1.0000000535380749
2014-01-21,sheepb,0.936143766751917,0.999999846164551
2014-01-22,sheepb,0.9361438266390936,1.0000000639722002
2014-01-23,sheepb,0.9361439298350878,1.0000001102351916
2014-01-24,sheepb,0.9361438745176636,0.9999999409092742
2014-01-27,sheepb,0.9361437731548617,0.9999998917230518
2014-01-28,sheepb,0.9361437455005994,0.9999999704593855
2014-01-29,sheepb,0.9361437579155554,1.0000000132618052
2014-01-30,sheepb,0.9361436678598902,0.9999999038014574
2014-01-31,sheepb,0.9361438851705788,1.0000002321339085
2014-02-03,sheepb,0.9361438470208789,0.9999999592480382
2014-02-04,sheepb,0.9361437580668247,0.9999999049782204
2014-02-05,sheepb,0.936143856372965,1.0000001050117993
2014-02-06,sheepb,0.9361437795246221,0.9999999179096862
2014-02-07,sheepb,0.9361439101667818,1.00000013955352
2014-02-10,sheepb,0.9361439605257404,1.0000000537940354
2014-02-11,sheepb,0.9361437211947872,0.9999997443438581
2014-02-12,sheepb,0.936143871672977,1.000000160742615
2014-02-13,sheepb,0.9361437685976736,0.9999998898937369
2014-02-14,sheepb,0.936143944573948,1.0000001879799667
2014-02-18,sheepb,0.9361437422787076,0.9999997839058388
2014-02-19,sheepb,0.9361437976004741,1.0000000590953761
2014-02-20,sheepb,0.9361438250464452,1.0000000293181146
2014-02-21,sheepb,0.9361440062918303,1.0000001936084821
2014-02-24,sheepb,0.9361439636696904,0.9999999544705307
2014-02-25,sheepb,0.9361438837261932,0.9999999146034153
2014-02-26,sheepb,0.9361439358240832,1.000000055651584
2014-02-27,sheepb,0.9361437876430804,0.9999998417113041
