source,date,open,high,low,close,volume
wiki,2017-11-07,230.4,231.66,228.89,229.72,438937.0
wiki,2017-11-09,227.88,228.94,226.0,227.91,319046.0
wiki,2017-11-10,227.68,228.91,224.62,225.45,342930.0
wiki,2017-11-13,223.4,225.27,222.31,224.2,475486.0
wiki,2017-11-14,223.7,226.47,221.09,226.17,562111.0
wiki,2018-02-12,243.56,249.69,242.11,248.29,594397.0
wiki,2018-02-13,247.11,248.45,243.97,246.26,472076.0
wiki,2018-02-14,246.26,250.72,245.16,250.05,466567.0
wiki,2018-03-27,222.3,222.3,218.32,219.12,684858.0
canonical,2017-11-07,230.4,231.66,228.89,229.72,438937.0
canonical,2017-11-09,227.88,228.94,226.0,227.91,319046.0
canonical,2017-11-10,227.68,228.91,224.62,225.45,342930.0
canonical,2017-11-13,223.4,225.27,222.31,224.2,475486.0
canonical,2017-11-14,223.7,226.47,221.09,226.17,562111.0
canonical,2018-02-12,243.56,249.69,242.11,248.29,594397.0
canonical,2018-02-13,247.11,248.45,243.97,246.26,472076.0
canonical,2018-02-14,246.26,250.72,245.16,250.05,466567.0
canonical,2018-03-27,222.3,222.3,218.32,219.12,684858.0
sheepb,2017-11-07,230.3999938964844,231.66000366210935,228.88999938964844,229.72000122070312,438900.0
sheepb,2017-11-08,229.72000122070312,230.6699981689453,228.17999267578125,229.61000061035156,412800.0
sheepb,2017-11-09,227.8800048828125,228.94000244140625,226.0,227.91000366210935,319000.0
sheepb,2017-11-10,227.67999267578125,228.91000366210935,224.6199951171875,225.4499969482422,342900.0
sheepb,2017-11-13,223.3999938964844,225.27000427246097,222.30999755859375,224.1999969482422,475500.0
sheepb,2017-11-14,223.6999969482422,226.47000122070312,221.08999633789065,226.1699981689453,562100.0
sheepb,2018-02-12,243.55999755859375,249.69000244140625,242.11000061035156,248.2899932861328,594400.0
sheepb,2018-02-13,247.11000061035156,248.4499969482422,243.97000122070312,246.2599945068359,472100.0
sheepb,2018-02-14,246.2599945068359,250.72000122070312,245.16000366210935,250.0500030517578,466600.0
sheepb,2018-03-27,222.3000030517578,222.3000030517578,218.32000732421875,219.1199951171875,736600.0
sheepb,2018-03-28,219.08999633789065,224.1199951171875,216.0399932861328,221.8999938964844,770900.0
sheepb,2020-06-03,51.630001068115234,55.4900016784668,51.630001068115234,55.16999816894531,1855300.0
sheepb,2020-06-19,50.45000076293945,50.540000915527344,46.81999969482422,47.400001525878906,9731200.0
sheepb,2020-06-22,47.16999816894531,48.209999084472656,46.099998474121094,47.400001525878906,2469400.0
sheepb,2020-07-01,45.369998931884766,47.38999938964844,43.43000030517578,43.7400016784668,1371500.0
sheepb,2020-07-02,45.20000076293945,46.25,43.47999954223633,43.70000076293945,1091900.0
iex,2017-11-07,230.4,231.66,228.89,229.72,439237.0
iex,2017-11-08,229.72,230.67,228.18,229.61,412762.0
iex,2017-11-09,227.88,228.94,226.0,227.91,319046.0
iex,2017-11-10,227.68,228.91,224.62,225.45,342930.0
iex,2017-11-13,223.4,225.27,222.31,224.2,475501.0
iex,2017-11-14,223.7,226.47,221.09,226.17,562111.0
