date,ticker,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
2016-11-01,ADS,204.74,205.62,199.83,201.74,461461.0,0.52,1.0,203.37564502138,204.24978084056,198.49836448482,200.3956365469,461461.0
2017-02-13,ADS,227.94,229.27,227.54,227.81,393448.0,0.52,1.0,226.93787345399,228.26202617705,226.53963203352,226.80844499234,393448.0
2017-05-11,ADS,256.61,256.75,249.08,251.1,721574.0,0.52,1.0,256.01090153998,256.15057468684,248.49848156961,250.51376554573,721574.0
2017-08-10,ADS,229.33,229.58,221.16,222.21,1260397.0,0.52,1.0,229.33,229.58,221.16,222.21,1260397.0
