date,open,high,low,close,adj_close,volume,Name,Company Name
2018-03-28,219.08999633789065,224.1199951171875,216.0399932861328,221.8999938964844,210.5957489013672,770900.0,ADS,Alliance Data Systems
2018-03-29,220.6499938964844,222.3800048828125,205.61000061035156,212.86000061035156,202.01629638671875,2367800.0,ADS,Alliance Data Systems
2018-04-02,212.8500061035156,214.0399932861328,207.07000732421875,208.0,197.40386962890625,863300.0,ADS,Alliance Data Systems
2018-04-03,208.3000030517578,208.3000030517578,204.3699951171875,206.1999969482422,195.695556640625,994300.0,ADS,Alliance Data Systems
2018-04-04,203.88999938964844,207.8999938964844,203.6699981689453,207.47000122070312,196.90084838867188,840300.0,ADS,Alliance Data Systems
2018-04-05,207.5099945068359,210.3500061035156,207.1499938964844,209.92999267578125,199.23553466796875,742200.0,ADS,Alliance Data Systems
2018-04-06,207.41000366210935,208.57000732421875,204.66000366210935,205.75,195.2684783935547,771000.0,ADS,Alliance Data Systems
2018-04-09,206.2400054931641,208.8699951171875,205.75,206.32000732421875,195.80946350097656,602000.0,ADS,Alliance Data Systems
2018-04-10,209.16000366210935,211.25,207.6499938964844,210.4499969482422,199.72906494140625,463300.0,ADS,Alliance Data Systems
2018-04-11,208.27000427246097,210.16000366210935,205.4900054931641,205.8699951171875,195.3823699951172,611500.0,ADS,Alliance Data Systems
2018-04-12,206.5800018310547,209.72999572753903,206.3300018310547,207.9499969482422,197.35643005371097,624100.0,ADS,Alliance Data Systems
2018-04-13,206.77999877929688,207.6499938964844,204.91000366210935,205.97999572753903,195.4867706298828,702700.0,ADS,Alliance Data Systems
2018-04-16,207.07000732421875,212.1999969482422,207.0,210.5500030517578,199.8239593505859,623100.0,ADS,Alliance Data Systems
2018-04-17,210.3000030517578,213.4600067138672,209.80999755859375,211.5800018310547,200.801513671875,628600.0,ADS,Alliance Data Systems
2018-04-18,212.92999267578125,215.32000732421875,212.1300048828125,213.61000061035156,202.72808837890625,901400.0,ADS,Alliance Data Systems
