date,source,factor,factor_step,ex_dividend_vendor_field,split_ratio_vendor_field,adjusted_volume_over_volume
2012-12-12,wiki,0.9907823422669199,,0.0,1.0,1.0
2012-12-13,wiki,0.990782342266875,0.9999999999999547,0.0,1.0,1.0
2012-12-14,wiki,0.990782342266898,1.000000000000023,0.0,1.0,1.0
2012-12-17,wiki,0.9907823422668774,0.9999999999999792,0.0,1.0,1.0
2012-12-18,wiki,0.9907823422668997,1.0000000000000224,0.0,1.0,1.0
2012-12-19,wiki,0.9907823422669071,1.0000000000000075,0.0,1.0,1.0
2012-12-20,wiki,0.9907823422669233,1.0000000000000164,0.0,1.0,1.0
2012-12-21,wiki,0.9907823422668991,0.9999999999999756,0.0,1.0,1.0
2012-12-24,wiki,0.9907823422668803,0.999999999999981,0.0,1.0,1.0
2012-12-26,wiki,0.9907823422668735,0.999999999999993,0.0,1.0,1.0
2012-12-27,wiki,0.9907823422669345,1.0000000000000617,0.0,1.0,1.0
2012-12-28,wiki,0.9907823422669072,0.9999999999999725,0.0,1.0,1.0
2012-12-31,wiki,0.9907823422669246,1.0000000000000175,0.0,1.0,1.0
2013-01-02,wiki,0.9907823422669083,0.9999999999999836,0.0,1.0,1.0
2013-01-03,wiki,0.9907823422669062,0.9999999999999979,0.0,1.0,1.0
2013-01-04,wiki,0.9907823422669094,1.0000000000000033,0.0,1.0,1.0
2013-01-07,wiki,0.9907823422668868,0.9999999999999771,0.0,1.0,1.0
2013-01-08,wiki,0.9907823422669286,1.0000000000000422,0.0,1.0,1.0
2013-01-09,wiki,0.9907823422668897,0.9999999999999607,0.0,1.0,1.0
2013-01-10,wiki,0.9907823422668732,0.9999999999999835,0.0,1.0,1.0
2013-01-11,wiki,0.9907823422668939,1.0000000000000209,0.0,1.0,1.0
2013-01-14,wiki,0.9907823422669313,1.0000000000000377,0.0,1.0,1.0
2013-01-15,wiki,0.990782342266903,0.9999999999999715,0.0,1.0,1.0
2013-01-16,wiki,0.9907823422668924,0.9999999999999893,0.0,1.0,1.0
2013-01-17,wiki,0.9907823422669271,1.0000000000000349,0.0,1.0,1.0
2013-01-18,wiki,0.9907823422668804,0.9999999999999529,0.0,1.0,1.0
2013-01-22,wiki,0.9907823422668703,0.9999999999999898,0.0,1.0,1.0
2013-01-23,wiki,0.9907823422668869,1.0000000000000167,0.0,1.0,1.0
2013-01-24,wiki,0.9907823422668698,0.9999999999999828,0.0,1.0,1.0
2013-01-25,wiki,0.9907823422668776,1.0000000000000078,0.0,1.0,1.0
2013-01-28,wiki,0.9907823422669166,1.0000000000000395,0.0,1.0,1.0
2013-01-29,wiki,0.9907823422668933,0.9999999999999765,0.0,1.0,1.0
2013-01-30,wiki,0.9907823422669274,1.0000000000000344,0.0,1.0,1.0
2013-01-31,wiki,0.9907823422668782,0.9999999999999504,0.0,1.0,1.0
2013-02-01,wiki,0.9907823422669219,1.000000000000044,0.0,1.0,1.0
2013-02-04,wiki,0.9907823422668819,0.9999999999999597,0.0,1.0,1.0
2013-02-05,wiki,0.9907823422669021,1.0000000000000204,0.0,1.0,1.0
2013-02-06,wiki,0.990782342266903,1.0000000000000009,0.0,1.0,1.0
2013-02-07,wiki,0.9907823422668791,0.9999999999999759,0.0,1.0,1.0
2013-02-08,wiki,0.9907823422668743,0.9999999999999952,0.0,1.0,1.0
2013-02-11,wiki,0.9907823422669144,1.0000000000000404,0.0,1.0,1.0
2013-02-12,wiki,0.9907823422668725,0.9999999999999576,0.0,1.0,1.0
2013-02-13,wiki,0.9907823422668725,1.0,0.0,1.0,1.0
2013-02-14,wiki,0.990782342266916,1.000000000000044,0.0,1.0,1.0
2013-02-15,wiki,0.990782342266907,0.9999999999999909,0.0,1.0,1.0
2013-02-19,wiki,0.9907823422668776,0.9999999999999704,0.0,1.0,1.0
2013-02-20,wiki,0.9907823422668718,0.9999999999999942,0.0,1.0,1.0
2013-02-21,wiki,0.9907823422668858,1.0000000000000142,0.0,1.0,1.0
2013-02-22,wiki,0.9907823422669134,1.000000000000028,0.0,1.0,1.0
2013-02-25,wiki,0.9907823422668725,0.9999999999999587,0.0,1.0,1.0
2013-02-26,wiki,0.990782342266898,1.0000000000000258,0.0,1.0,1.0
2013-02-27,wiki,0.9907823422668779,0.9999999999999797,0.0,1.0,1.0
2013-02-28,wiki,0.9907823422668725,0.9999999999999946,0.0,1.0,1.0
2013-03-01,wiki,0.9907823422669315,1.0000000000000595,0.0,1.0,1.0
2013-03-04,wiki,0.99078234226691,0.9999999999999782,0.0,1.0,1.0
2013-03-05,wiki,0.9907823422669225,1.0000000000000127,0.0,1.0,1.0
2013-03-06,wiki,0.9907823422669004,0.9999999999999777,0.0,1.0,1.0
2013-03-07,wiki,0.9907823422669108,1.0000000000000104,0.0,1.0,1.0
2013-03-08,wiki,0.990782342266899,0.9999999999999881,0.0,1.0,1.0
2013-03-11,wiki,0.9907823422668863,0.9999999999999872,0.0,1.0,1.0
2013-03-12,wiki,0.9907823422668834,0.9999999999999971,0.0,1.0,1.0
2013-03-13,wiki,0.990782342266875,0.9999999999999915,0.0,1.0,1.0
2013-03-14,wiki,0.9907823422668693,0.9999999999999943,0.0,1.0,1.0
2013-03-15,wiki,0.9907823422669157,1.0000000000000469,0.0,1.0,1.0
2013-03-18,wiki,0.9907823422669094,0.9999999999999936,0.0,1.0,1.0
2013-03-19,wiki,0.9907823422668749,0.9999999999999651,0.0,1.0,1.0
2013-03-20,wiki,0.9907823422669015,1.0000000000000269,0.0,1.0,1.0
2013-03-21,wiki,0.990782342266901,0.9999999999999994,0.0,1.0,1.0
2013-03-22,wiki,0.9907823422669249,1.0000000000000242,0.0,1.0,1.0
2013-03-25,wiki,0.9907823422669076,0.9999999999999827,0.0,1.0,1.0
2013-03-26,wiki,0.9907823422668735,0.9999999999999655,0.0,1.0,1.0
2013-03-27,wiki,0.9907823422669213,1.0000000000000484,0.0,1.0,1.0
2013-03-28,wiki,0.9907823422669098,0.9999999999999883,0.0,1.0,1.0
2013-04-01,wiki,0.9907823422668828,0.9999999999999728,0.0,1.0,1.0
2013-04-02,wiki,0.9907823422668919,1.000000000000009,0.0,1.0,1.0
2013-04-03,wiki,0.9907823422669023,1.0000000000000104,0.0,1.0,1.0
2013-04-04,wiki,0.9907823422669283,1.0000000000000262,0.0,1.0,1.0
2013-04-05,wiki,0.9907823422668813,0.9999999999999526,0.0,1.0,1.0
2013-04-08,wiki,0.9907823422668816,1.0000000000000002,0.0,1.0,1.0
2013-04-09,wiki,0.9907823422669129,1.0000000000000315,0.0,1.0,1.0
2013-04-10,wiki,0.9907823422669313,1.0000000000000187,0.0,1.0,1.0
2013-04-11,wiki,0.9907823422669233,0.9999999999999919,0.0,1.0,1.0
2013-04-12,wiki,0.9907823422669284,1.000000000000005,0.0,1.0,1.0
2013-04-15,wiki,0.9907823422669146,0.9999999999999861,0.0,1.0,1.0
2013-04-16,wiki,0.990782342266874,0.999999999999959,0.0,1.0,1.0
2013-04-17,wiki,0.9907823422669001,1.0000000000000264,0.0,1.0,1.0
2013-04-18,wiki,0.9907823422668941,0.9999999999999939,0.0,1.0,1.0
2013-04-19,wiki,0.9907823422668833,0.9999999999999891,0.0,1.0,1.0
2013-04-22,wiki,0.9907823422669131,1.00000000000003,0.0,1.0,1.0
2013-04-23,wiki,0.9907823422669152,1.0000000000000022,0.0,1.0,1.0
2013-04-24,wiki,0.990782342266928,1.0000000000000129,0.0,1.0,1.0
2013-04-25,wiki,0.9907823422669234,0.9999999999999954,0.0,1.0,1.0
2013-04-26,wiki,0.9907823422668824,0.9999999999999587,0.0,1.0,1.0
2013-04-29,wiki,0.9907823422669201,1.000000000000038,0.0,1.0,1.0
2013-04-30,wiki,0.9907823422669266,1.0000000000000067,0.0,1.0,1.0
2013-05-01,wiki,0.9907823422668974,0.9999999999999706,0.0,1.0,1.0
2013-05-02,wiki,0.9907823422668947,0.9999999999999972,0.0,1.0,1.0
2013-05-03,wiki,0.990782342266916,1.0000000000000215,0.0,1.0,1.0
2013-05-06,wiki,0.990782342266883,0.9999999999999667,0.0,1.0,1.0
2013-05-07,wiki,0.9907823422668741,0.999999999999991,0.0,1.0,1.0
2013-05-08,wiki,0.9907823422668922,1.0000000000000182,0.0,1.0,1.0
2013-05-09,wiki,0.9907823422669048,1.0000000000000127,0.0,1.0,1.0
2013-05-10,wiki,0.9907823422668887,0.9999999999999838,0.0,1.0,1.0
2013-05-13,wiki,0.9907823422669128,1.0000000000000244,0.0,1.0,1.0
2013-05-14,wiki,0.9907823422668848,0.9999999999999718,0.0,1.0,1.0
2013-05-15,wiki,0.9907823422669056,1.000000000000021,0.0,1.0,1.0
2013-05-16,wiki,0.9907823422669146,1.000000000000009,0.0,1.0,1.0
2013-05-17,wiki,0.9907823422669024,0.9999999999999877,0.0,1.0,1.0
2013-05-20,wiki,0.9907823422668967,0.9999999999999942,0.0,1.0,1.0
2013-05-21,wiki,0.9907823422669173,1.0000000000000209,0.0,1.0,1.0
2013-05-22,wiki,0.9907823422668826,0.9999999999999649,0.0,1.0,1.0
2013-05-23,wiki,0.9907823422669245,1.0000000000000424,0.0,1.0,1.0
2013-05-24,wiki,0.9907823422669163,0.9999999999999917,0.0,1.0,1.0
2013-05-28,wiki,0.9907823422668961,0.9999999999999796,0.0,1.0,1.0
2013-05-29,wiki,0.9907823422668802,0.999999999999984,0.0,1.0,1.0
2013-05-30,wiki,0.9907823422668951,1.000000000000015,0.0,1.0,1.0
2013-05-31,wiki,0.9907823422669264,1.0000000000000315,0.0,1.0,1.0
2013-06-03,wiki,0.990782342266908,0.9999999999999813,0.0,1.0,1.0
2013-06-04,wiki,0.990782342266897,0.9999999999999889,0.0,1.0,1.0
2013-06-05,wiki,0.9907823422669085,1.0000000000000115,0.0,1.0,1.0
2013-06-06,wiki,0.9907823422668947,0.999999999999986,0.0,1.0,1.0
2013-06-07,wiki,0.9907823422669171,1.0000000000000226,0.0,1.0,1.0
2013-06-10,wiki,0.9907823422669273,1.0000000000000102,0.0,1.0,1.0
2013-06-11,wiki,0.9907823422668809,0.9999999999999531,0.0,1.0,1.0
2013-06-12,wiki,0.9907823422668982,1.0000000000000175,0.0,1.0,1.0
2013-06-13,wiki,0.9907823422669254,1.0000000000000275,0.0,1.0,1.0
2013-06-14,wiki,0.990782342266888,0.9999999999999623,0.0,1.0,1.0
2013-06-17,wiki,0.9907823422669165,1.0000000000000289,0.0,1.0,1.0
2013-06-18,wiki,0.9907823422669039,0.9999999999999872,0.0,1.0,1.0
2013-06-19,wiki,0.9907823422668831,0.999999999999979,0.0,1.0,1.0
2013-06-20,wiki,0.9907823422669132,1.0000000000000304,0.0,1.0,1.0
2013-06-21,wiki,0.9907823422669292,1.0000000000000162,0.0,1.0,1.0
2013-06-24,wiki,0.9907823422669029,0.9999999999999735,0.0,1.0,1.0
2013-06-25,wiki,0.9907823422669156,1.0000000000000129,0.0,1.0,1.0
2013-06-26,wiki,0.990782342266876,0.99999999999996,0.0,1.0,1.0
2013-06-27,wiki,0.9907823422668962,1.0000000000000204,0.0,1.0,1.0
2013-06-28,wiki,0.9907823422669172,1.000000000000021,0.0,1.0,1.0
2013-07-01,wiki,0.9907823422668849,0.9999999999999674,0.0,1.0,1.0
2013-07-02,wiki,0.9907823422668932,1.0000000000000084,0.0,1.0,1.0
2013-07-03,wiki,0.990782342266922,1.000000000000029,0.0,1.0,1.0
2013-07-05,wiki,0.9907823422668934,0.9999999999999712,0.0,1.0,1.0
2013-07-08,wiki,0.9907823422668878,0.9999999999999943,0.0,1.0,1.0
2013-07-09,wiki,0.9907823422668951,1.0000000000000073,0.0,1.0,1.0
2013-07-10,wiki,0.9907823422669111,1.0000000000000162,0.0,1.0,1.0
2013-07-11,wiki,0.9907823422668834,0.9999999999999721,0.0,1.0,1.0
2013-07-12,wiki,0.9907823422669151,1.000000000000032,0.0,1.0,1.0
2013-07-15,wiki,0.990782342266877,0.9999999999999616,0.0,1.0,1.0
2013-07-16,wiki,0.9907823422669184,1.0000000000000417,0.0,1.0,1.0
2013-07-17,wiki,0.9907823422668793,0.9999999999999606,0.0,1.0,1.0
2013-07-18,wiki,0.9907823422669244,1.0000000000000455,0.0,1.0,1.0
2013-07-19,wiki,0.9907823422669103,0.9999999999999858,0.0,1.0,1.0
2013-07-22,wiki,0.9907823422668998,0.9999999999999893,0.0,1.0,1.0
2013-07-23,wiki,0.9907823422668803,0.9999999999999803,0.0,1.0,1.0
2013-07-24,wiki,0.9907823422669255,1.0000000000000455,0.0,1.0,1.0
2013-07-25,wiki,0.9907823422669246,0.9999999999999991,0.0,1.0,1.0
2013-07-26,wiki,0.9907823422668962,0.9999999999999714,0.0,1.0,1.0
2013-07-29,wiki,0.9907823422668993,1.000000000000003,0.0,1.0,1.0
2013-07-30,wiki,0.990782342266918,1.0000000000000189,0.0,1.0,1.0
2013-07-31,wiki,0.9907823422669126,0.9999999999999947,0.0,1.0,1.0
2013-08-01,wiki,0.9907823422668898,0.9999999999999769,0.0,1.0,1.0
2013-08-02,wiki,0.9907823422668997,1.00000000000001,0.0,1.0,1.0
2013-08-05,wiki,0.9907823422669236,1.0000000000000242,0.0,1.0,1.0
2013-08-06,wiki,0.9907823422668947,0.9999999999999708,0.0,1.0,1.0
2013-08-07,wiki,0.9907823422668829,0.9999999999999881,0.0,1.0,1.0
2013-08-08,wiki,0.9907823422669061,1.0000000000000233,0.0,1.0,1.0
2013-08-09,wiki,0.9907823422668802,0.9999999999999739,0.0,1.0,1.0
2013-08-12,wiki,0.9907823422669086,1.0000000000000286,0.0,1.0,1.0
2013-08-13,wiki,0.9907823422669074,0.9999999999999988,0.0,1.0,1.0
2013-08-14,wiki,0.990782342266907,0.9999999999999996,0.0,1.0,1.0
2013-08-15,wiki,0.9907823422669004,0.9999999999999933,0.0,1.0,1.0
2013-08-16,wiki,0.990782342266897,0.9999999999999966,0.0,1.0,1.0
2013-08-19,wiki,0.9907823422669002,1.0000000000000033,0.0,1.0,1.0
2013-08-20,wiki,0.9907823422669148,1.0000000000000147,0.0,1.0,1.0
2013-08-21,wiki,0.9907823422668918,0.9999999999999768,0.0,1.0,1.0
2013-08-22,wiki,0.9907823422668974,1.0000000000000058,0.0,1.0,1.0
2013-08-23,wiki,0.9907823422668808,0.9999999999999832,0.0,1.0,1.0
2013-08-26,wiki,0.9907823422669116,1.000000000000031,0.0,1.0,1.0
2013-08-27,wiki,0.9907823422668943,0.9999999999999826,0.0,1.0,1.0
2013-08-28,wiki,0.9907823422669244,1.0000000000000304,0.0,1.0,1.0
2013-08-29,wiki,0.9907823422668848,0.99999999999996,0.0,1.0,1.0
2013-08-30,wiki,0.9907823422668882,1.0000000000000036,0.0,1.0,1.0
2013-09-03,wiki,0.9907823422669005,1.0000000000000124,0.0,1.0,1.0
2013-09-04,wiki,0.9907823422668847,0.999999999999984,0.0,1.0,1.0
2013-09-05,wiki,0.9907823422669091,1.0000000000000246,0.0,1.0,1.0
2013-09-06,wiki,0.9907823422669106,1.0000000000000016,0.0,1.0,1.0
2013-09-09,wiki,0.9907823422669032,0.9999999999999925,0.0,1.0,1.0
2013-09-10,wiki,0.9907823422668868,0.9999999999999835,0.0,1.0,1.0
2013-09-11,wiki,0.9907823422669241,1.0000000000000377,0.0,1.0,1.0
2013-09-12,wiki,0.9907823422669069,0.9999999999999827,0.0,1.0,1.0
2013-09-13,wiki,0.9907823422669222,1.0000000000000155,0.0,1.0,1.0
2013-09-16,wiki,0.9907823422668974,0.999999999999975,0.0,1.0,1.0
2013-09-17,wiki,0.9907823422668891,0.9999999999999916,0.0,1.0,1.0
2013-09-18,wiki,0.9907823422669039,1.0000000000000149,0.0,1.0,1.0
2013-09-19,wiki,0.9907823422668821,0.999999999999978,0.0,1.0,1.0
2013-09-20,wiki,0.9907823422668891,1.000000000000007,0.0,1.0,1.0
2013-09-23,wiki,0.9907823422669029,1.000000000000014,0.0,1.0,1.0
2013-09-24,wiki,0.990782342266885,0.999999999999982,0.0,1.0,1.0
2013-09-25,wiki,0.9907823422668958,1.0000000000000109,0.0,1.0,1.0
2013-09-26,wiki,0.9907823422668813,0.9999999999999855,0.0,1.0,1.0
2013-09-27,wiki,0.9907823422669151,1.000000000000034,0.0,1.0,1.0
2013-09-30,wiki,0.9907823422668937,0.9999999999999784,0.0,1.0,1.0
2013-10-01,wiki,0.9907823422668874,0.9999999999999937,0.0,1.0,1.0
2013-10-02,wiki,0.9907823422669096,1.0000000000000224,0.0,1.0,1.0
2013-10-03,wiki,0.9907823422669083,0.9999999999999987,0.0,1.0,1.0
2013-10-04,wiki,0.9907823422669145,1.0000000000000062,0.0,1.0,1.0
2013-10-07,wiki,0.9907823422669104,0.9999999999999959,0.0,1.0,1.0
2013-10-08,wiki,0.9907823422669018,0.9999999999999912,0.0,1.0,1.0
2013-10-09,wiki,0.9907823422669034,1.0000000000000018,0.0,1.0,1.0
2013-10-10,wiki,0.9907823422669148,1.0000000000000113,0.0,1.0,1.0
2013-10-11,wiki,0.9907823422669202,1.0000000000000056,0.0,1.0,1.0
2013-10-14,wiki,0.9907823422668853,0.9999999999999648,0.0,1.0,1.0
2013-10-15,wiki,0.9907823422669169,1.0000000000000318,0.0,1.0,1.0
2013-10-16,wiki,0.9907823422668853,0.9999999999999681,0.0,1.0,1.0
2013-10-17,wiki,0.9907823422669222,1.0000000000000373,0.0,1.0,1.0
2013-10-18,wiki,0.9907823422669204,0.9999999999999982,0.0,1.0,1.0
2013-10-21,wiki,0.9907823422669161,0.9999999999999957,0.0,1.0,1.0
2013-10-22,wiki,0.9907823422669048,0.9999999999999886,0.0,1.0,1.0
2013-10-23,wiki,0.9907823422669181,1.0000000000000135,0.0,1.0,1.0
2013-10-24,wiki,0.9907823422669211,1.000000000000003,0.0,1.0,1.0
2013-10-25,wiki,0.9907823422668999,0.9999999999999786,0.0,1.0,1.0
2013-10-28,wiki,0.9907823422669206,1.0000000000000209,0.0,1.0,1.0
2013-10-29,wiki,0.9907823422668897,0.9999999999999687,0.0,1.0,1.0
2013-10-30,wiki,0.9907823422668932,1.0000000000000036,0.0,1.0,1.0
2013-10-31,wiki,0.9907823422668945,1.0000000000000013,0.0,1.0,1.0
2013-11-01,wiki,0.9907823422669144,1.00000000000002,0.0,1.0,1.0
2013-11-04,wiki,0.990782342266906,0.9999999999999915,0.0,1.0,1.0
2013-11-05,wiki,0.9907823422668832,0.999999999999977,0.0,1.0,1.0
2013-11-06,wiki,0.9907823422668887,1.0000000000000056,0.0,1.0,1.0
2013-11-07,wiki,0.9907823422669194,1.000000000000031,0.0,1.0,1.0
2013-11-08,wiki,0.9907823422669026,0.9999999999999831,0.0,1.0,1.0
2013-11-11,wiki,0.9907823422668929,0.9999999999999901,0.0,1.0,1.0
2013-11-12,wiki,0.990782342266885,0.999999999999992,0.0,1.0,1.0
2013-11-13,wiki,0.9907823422669029,1.000000000000018,0.0,1.0,1.0
2013-11-14,wiki,0.9907823422668842,0.9999999999999811,0.0,1.0,1.0
2013-11-15,wiki,0.9907823422669102,1.0000000000000262,0.0,1.0,1.0
2013-11-18,wiki,0.9907823422669082,0.999999999999998,0.0,1.0,1.0
2013-11-19,wiki,0.9907823422668955,0.9999999999999872,0.0,1.0,1.0
2013-11-20,wiki,0.9907823422669065,1.000000000000011,0.0,1.0,1.0
2013-11-21,wiki,0.9907823422668833,0.9999999999999766,0.0,1.0,1.0
2013-11-22,wiki,0.990782342266905,1.0000000000000218,0.0,1.0,1.0
2013-11-25,wiki,0.9907823422669056,1.0000000000000007,0.0,1.0,1.0
2013-11-26,wiki,0.9907823422669075,1.000000000000002,0.0,1.0,1.0
2013-11-27,wiki,0.9907823422668957,0.999999999999988,0.0,1.0,1.0
2013-11-29,wiki,0.9907823422669033,1.0000000000000078,0.0,1.0,1.0
2013-12-02,wiki,0.9907823422669001,0.9999999999999968,0.0,1.0,1.0
