ticker,member_rebalance_count,first_missing_member_date,last_missing_member_date,maximum_coverage_gain_pp,candidate_cache,candidate_exists,identity_status,candidate_first_date,candidate_last_date,candidate_cache_sha256,candidate_rows,candidate_adjusted_flag,available_member_dates,candidate_coverage_gain_pp
LEHMQ,47,2005-01-03,2008-08-28,0.03491521105166386,,,,,,,,,,
EDS,46,2005-01-03,2008-07-31,0.034174239786529524,,,,,,,,,,
WFT,46,2005-07-25,2009-02-20,0.03414881643227125,,,,,,,,,,
STR,45,2006-12-27,2010-06-28,0.03334976609051382,,,,,,,,,,
ABKFQ,44,2005-01-03,2008-06-04,0.032690806368403436,,,,,,,,,,
CFC,44,2005-01-03,2008-06-04,0.032690806368403436,,,,,,,,,,
OMX,44,2005-01-03,2008-06-04,0.032690806368403436,,,,,,,,,,
AKS,44,2008-07-02,2011-11-29,0.03260432216180724,,,,,,,,,,
BSC,43,2005-01-03,2008-05-06,0.031948344215411685,,,,,,,,,,
ATGE,42,2009-06-16,2012-09-14,0.031141749258822224,ATGE,False,NOT_YET_VALIDATED,,,,,,,
FL,42,2016-04-15,2019-07-19,0.030651875666354654,,,,,,,,,,
CCTYQ,41,2005-01-03,2008-03-10,0.030463419909428184,,,,,,,,,,
HET,39,2005-01-03,2008-01-10,0.02897849560344468,,,,,,,,,,
DJ,38,2005-01-03,2007-12-11,0.02823603345045293,,,,,,,,,,
SNV,38,2005-01-03,2007-12-11,0.02823603345045293,,,,,,,,,,
TIN,38,2005-01-03,2007-12-11,0.02823603345045293,,,,,,,,,,
TRB,38,2005-01-03,2007-12-11,0.02823603345045293,,,,,,,,,,
NLOK,38,2019-11-11,2022-10-19,0.027784040750921793,GEN,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,7203b2cf6f2af6eb4f7866b7f1d8d87b483630b758ac220a23b3453136a3aceb,5713.0,True,38.0,0.027784040750921793
AT,37,2005-01-03,2007-11-12,0.027493571297461175,,,,,,,,,,
CEPH,37,2008-11-21,2011-10-03,0.027413050642294635,,,,,,,,,,
MEE,37,2008-07-02,2011-05-11,0.027407087090864982,,,,,,,,,,
MNK,37,2014-09-12,2017-07-24,0.0271370466626764,,,,,,,,,,
LVLT,37,2014-11-07,2017-09-19,0.027116586565959184,,,,,,,,,,
HFC,37,2018-07-06,2021-05-17,0.027033031510159795,DINO,False,NOT_YET_VALIDATED,,,,,,,
BOL,36,2005-01-03,2007-10-15,0.026751109144469425,,,,,,,,,,
HCR,36,2005-01-03,2007-10-15,0.026751109144469425,,,,,,,,,,
BRL,36,2006-03-14,2008-12-22,0.026719692180558568,,,,,,,,,,
ASN,35,2005-01-03,2007-09-17,0.026008646991477674,,,,,,,,,,
FDC,35,2005-01-03,2007-09-17,0.026008646991477674,,,,,,,,,,
NCR,35,2005-01-03,2007-09-17,0.026008646991477674,VYX,False,NOT_YET_VALIDATED,,,,,,,
SLR,35,2005-01-03,2007-09-17,0.026008646991477674,,,,,,,,,,
TXU,35,2005-01-03,2007-09-17,0.026008646991477674,,,,,,,,,,
KRFT,35,2012-10-12,2015-06-30,0.025941562182118266,,,,,,,,,,
CBSS,34,2005-01-03,2007-08-17,0.025266184838485924,,,,,,,,,,
KSE,34,2005-01-03,2007-08-17,0.025266184838485924,,,,,,,,,,
BMET,32,2005-01-03,2007-06-21,0.02378126053250242,,,,,,,,,,
MEL,32,2005-01-03,2007-06-21,0.02378126053250242,,,,,,,,,,
PMCS,32,2005-01-03,2007-06-21,0.02378126053250242,,,,,,,,,,
PETM,31,2012-10-12,2015-03-06,0.0229880536891175,,,,,,,,,,
FI,31,2023-06-09,2025-10-30,0.02274032254665063,FISV,True,NOT_YET_VALIDATED,2003-12-19,2026-09-04,d7306facffbf947280890c26facd3e16b9fd7b4396742cce0c1833fc87a6ece9,5713.0,True,31.0,0.02274032254665063
CDAY,30,2021-10-07,2024-01-30,0.021984923649068334,DAY,False,NOT_YET_VALIDATED,,,,,,,
TSG,29,2005-01-03,2007-03-27,0.021553874073527168,,,,,,,,,,
CMX,28,2005-01-03,2007-02-27,0.020811411920535417,,,,,,,,,,
HMA,28,2005-01-03,2007-02-27,0.020811411920535417,,,,,,,,,,
VIAC,28,2019-12-10,2022-02-01,0.020459610536699428,,,,,,,,,,
APCC,27,2005-01-03,2007-01-29,0.020068949767543663,,,,,,,,,,
CMVT,27,2005-01-03,2007-01-29,0.020068949767543663,,,,,,,,,,
EOP,27,2005-01-03,2007-01-29,0.020068949767543663,,,,,,,,,,
PGL,27,2005-01-03,2007-01-29,0.020068949767543663,,,,,,,,,,
WPX,27,2012-01-27,2014-02-24,0.020049471929781286,,,,,,,,,,
MFE,27,2009-01-22,2011-02-14,0.019991410888091952,,,,,,,,,,
ENDP,27,2015-02-05,2017-03-01,0.019793333376675843,,,,,,,,,,
BLS,26,2005-01-03,2006-12-27,0.019326487614551913,,,,,,,,,,
SBL,26,2005-01-03,2006-12-27,0.019326487614551913,,,,,,,,,,
DDR,26,2007-03-27,2009-03-20,0.019289113074713836,SITC,False,NOT_YET_VALIDATED,,,,,,,
FSL,25,2005-01-03,2006-11-28,0.018584025461560162,,,,,,,,,,
NAV,25,2005-01-03,2006-11-28,0.018584025461560162,,,,,,,,,,
NFB,25,2005-01-03,2006-11-28,0.018584025461560162,,,,,,,,,,
GMCR,25,2014-03-24,2016-02-18,0.01844904638996162,,,,,,,,,,
DAY,25,2024-02-28,2026-01-28,0.018338688073049437,DAY,False,NOT_YET_VALIDATED,,,,,,,
FSH,24,2005-01-03,2006-10-30,0.01784156330856841,,,,,,,,,,
CBH,23,2006-06-08,2008-03-10,0.017076629518810282,,,,,,,,,,
ANDW,22,2005-01-03,2006-09-01,0.016356639002584907,,,,,,,,,,
GDW,22,2005-01-03,2006-09-01,0.016356639002584907,,,,,,,,,,
DWDP,22,2017-09-19,2019-05-22,0.016058085146599968,,,,,,,,,,
IAC,21,2006-12-27,2008-07-31,0.015590214324969365,IAC,False,NOT_YET_VALIDATED,,,,,,,
ACAS,21,2007-07-20,2009-02-20,0.015579778109967472,,,,,,,,,,
CTB,20,2005-01-03,2006-07-07,0.014871714696601406,,,,,,,,,,
GTW,20,2005-01-03,2006-07-07,0.014871714696601406,,,,,,,,,,
KRI,19,2005-01-03,2006-06-08,0.014129252543609654,,,,,,,,,,
ABS,18,2005-01-03,2006-05-10,0.013386790390617902,,,,,,,,,,
AMCC,18,2005-01-03,2006-05-10,0.013386790390617902,,,,,,,,,,
ANRZQ,17,2011-06-09,2012-09-14,0.012623353500361771,,,,,,,,,,
WCG,17,2018-10-01,2020-01-09,0.012423356199615746,,,,,,,,,,
CIN,16,2005-01-03,2006-03-14,0.011901866084634399,,,,,,,,,,
JP,16,2005-01-03,2006-03-14,0.011901866084634399,,,,,,,,,,
MYG,16,2005-01-03,2006-03-14,0.011901866084634399,,,,,,,,,,
DCNAQ,15,2005-01-03,2006-02-13,0.011159403931642648,,,,,,,,,,
SFA,15,2005-01-03,2006-02-13,0.011159403931642648,,,,,,,,,,
RBK,14,2005-01-03,2006-01-13,0.010416941778650898,,,,,,,,,,
SEBL,14,2005-01-03,2006-01-13,0.010416941778650898,,,,,,,,,,
KRB,13,2005-01-03,2005-12-14,0.009674479625659146,,,,,,,,,,
MERQ,13,2005-01-03,2005-12-14,0.009674479625659146,,,,,,,,,,
VSTNQ,13,2005-01-03,2005-12-14,0.009674479625659146,,,,,,,,,,
CPNLQ,12,2005-01-03,2005-11-15,0.008932017472667395,,,,,,,,,,
CPGX,12,2015-07-29,2016-06-13,0.00879321322265977,,,,,,,,,,
BXLT,11,2015-07-29,2016-05-13,0.008062512846349077,,,,,,,,,,
DPHIQ,10,2005-01-03,2005-09-20,0.007444099367679893,,,,,,,,,,
PVN,10,2005-01-03,2005-09-20,0.007444099367679893,,,,,,,,,,
MAY,9,2005-01-03,2005-08-22,0.006700140315186143,,,,,,,,,,
DALRQ,8,2005-01-03,2005-07-25,0.005956181262692392,,,,,,,,,,
NXTL,8,2005-01-03,2005-07-25,0.005956181262692392,,,,,,,,,,
GLK,7,2005-01-03,2005-06-24,0.005212222210198641,,,,,,,,,,
TOY,7,2005-01-03,2005-06-24,0.005212222210198641,,,,,,,,,,
SATS,4,2026-03-26,2026-06-23,0.002934422982400798,,,,,,,,,,
CMCSK,3,2015-09-24,2015-11-19,0.002200817236800599,,,,,,,,,,
