date,wiki_open,sheepb_open,open_absolute_relative_difference,wiki_high,sheepb_high,high_absolute_relative_difference,wiki_low,sheepb_low,low_absolute_relative_difference,wiki_close,sheepb_close,close_absolute_relative_difference,wiki_volume,sheepb_volume,volume_absolute_relative_difference
2007-11-12,57.53,57.529998779296875,2.121854902892295e-08,58.53,58.529998779296875,2.0856024685045327e-08,56.95,56.95000076293945,1.3396654008346331e-08,56.95,56.95000076293945,1.3396654008346331e-08,359000.0,359000.0,0.0
2007-11-13,56.8,56.79999923706055,1.3432032597293642e-08,58.18,58.18000030517578,5.2453725807311e-09,54.56,54.560001373291016,2.517028985238312e-08,57.72,57.720001220703125,2.1148702789020035e-08,799700.0,799700.0,0.0
2007-11-14,57.62,57.619998931884766,1.853723063938162e-08,59.22,59.220001220703125,2.0613021289861422e-08,57.32,57.31999969482422,5.324071516987772e-09,57.55,57.54999923706055,1.3256984399134808e-08,532200.0,532200.0,0.0
2007-11-15,57.36,57.36000061035156,1.0640717640342245e-08,57.6999,57.70000076293945,1.7463278003670979e-06,56.51,56.5099983215332,2.9702119874741584e-08,56.98,56.97999954223633,8.033760434678072e-09,307500.0,307500.0,0.0
2007-11-16,57.27,57.27000045776367,7.993079531587455e-09,57.9999,58.0,1.724140903824889e-06,56.48,56.47999954223633,8.104880766524047e-09,57.65,57.650001525878906,2.6467977587429914e-08,285800.0,285800.0,0.0
2007-11-19,56.72,56.720001220703125,2.152156430845764e-08,58.04,58.040000915527344,1.577407560127142e-08,56.3,56.29999923706055,1.3551322397553633e-08,56.3,56.29999923706055,1.3551322397553633e-08,338200.0,338200.0,0.0
2007-11-20,56.13,56.130001068115234,1.9029311015827943e-08,56.93,56.93000030517578,5.36054423072585e-09,55.18,55.18000030517578,5.530550684085256e-09,55.97,55.970001220703125,2.1809954064977433e-08,453700.0,453700.0,0.0
2007-11-21,55.7,55.70000076293945,1.3697297074344306e-08,56.75,56.75,0.0,55.12,55.119998931884766,1.937799765094894e-08,55.7,55.70000076293945,1.3697297074344306e-08,383100.0,383100.0,0.0
2007-11-23,56.0,56.0,0.0,56.36,56.36000061035156,1.0829516838839481e-08,54.97,54.970001220703125,2.220671513342154e-08,55.19,55.189998626708984,2.488296813041302e-08,149200.0,149200.0,0.0
2007-11-26,55.28,55.279998779296875,2.208218385923999e-08,56.37,56.369998931884766,1.8948292157539015e-08,55.2,55.20000076293945,1.3821366939836821e-08,55.29,55.290000915527344,1.6558642457198403e-08,320500.0,320500.0,0.0
2007-11-27,55.43,55.43000030517578,5.505606637257188e-09,56.7899,56.790000915527344,1.776997799574076e-06,55.21,55.209999084472656,1.658263615311739e-08,56.1,56.099998474121094,2.7199267504940394e-08,616200.0,616200.0,0.0
2007-11-28,56.5,56.5,0.0,58.83,58.83000183105469,3.1124506083557435e-08,55.99,55.9900016784668,2.997797454717954e-08,58.78,58.779998779296875,2.0767320974002246e-08,631200.0,631200.0,0.0
2007-11-29,58.45,58.45000076293945,1.3052856351336573e-08,59.31,59.310001373291016,2.315445990497267e-08,57.86,57.86000061035156,1.0548765416729111e-08,58.82,58.81999969482422,5.1882995677488e-09,451700.0,451700.0,0.0
2007-11-30,59.29,59.290000915527344,1.5441513623315473e-08,59.56,59.560001373291016,2.3057270093218563e-08,58.7,58.70000076293945,1.2997264819958332e-08,58.85,58.849998474121094,2.5928273750253084e-08,1591400.0,1591400.0,0.0
2007-12-03,59.0,59.0,0.0,60.2199,60.220001220703125,1.6808513982891071e-06,58.55,58.54999923706055,1.3030562739935192e-08,58.92,58.91999816894531,3.107696344706312e-08,534700.0,534700.0,0.0
2007-12-04,58.3,58.29999923706055,1.3086439931697669e-08,59.88,59.880001068115234,1.7837595622793856e-08,57.32,57.31999969482422,5.324071516987772e-09,59.71,59.709999084472656,1.533289806232574e-08,683800.0,683800.0,0.0
