date,open,high,low,close,volume,Name
2017-11-06,67.27,67.36,66.27,67.26,832921,SRCL
2017-11-07,67.1,67.37,66.65,67.16,696193,SRCL
2017-11-08,66.98,67.37,66.6804,67.1,922226,SRCL
2017-11-09,62.3,64.76,61.62,64.06,4637105,SRCL
2017-11-10,63.72,65.24,63.66,64.02,1738017,SRCL
