date,nominal_open,nominal_high,nominal_low,nominal_close,nominal_volume,raw_source,prefix_preserving_open,prefix_preserving_high,prefix_preserving_low,prefix_preserving_close,prefix_preserving_volume,prefix_preserving_dollar_volume,prefix_preserving_source,repaired_open,repaired_high,repaired_low,repaired_close,repaired_volume,repaired_dollar_volume,repaired_source,prefix_preserving_factor,repaired_factor,cash_dividend_tail_or_prefix_repair
2003-10-01,24.7,25.11,24.7,25.05,32300.0,WIKI,1.8684690617691,1.8994841352641,1.8684690617691,1.8949453440209,258400.0,809115.0,Quandl WIKI frozen 2018 archive via Kaggle,1.8546842464240563,1.885470503146122,1.8546842464240563,1.8809651972843273,258400.0,809115.0,Quandl WIKI frozen 2018 archive via Kaggle; includes omitted 2018-02-27 USD 0.33 dividend repair,0.0756465207193972,0.07508843102931446,0.0
2003-10-02,25.1,25.18,25.0,25.13,42500.0,WIKI,1.8987276700569,1.9047793917145,1.891163017985,1.9009970656785,340000.0,1068025.0,Quandl WIKI frozen 2018 archive via Kaggle,1.8847196188358228,1.8907266933182159,1.877210775732931,1.8869722717667203,340000.0,1068025.0,Quandl WIKI frozen 2018 archive via Kaggle; includes omitted 2018-02-27 USD 0.33 dividend repair,0.07564652071939913,0.07508843102931637,0.0
2003-10-03,25.2,25.31,25.08,25.19,39700.0,WIKI,1.9062923221288,1.914613439408,1.8972147396425,1.9055358569216,317600.0,1000043.0,Quandl WIKI frozen 2018 archive via Kaggle,1.8922284619387149,1.9004881893520054,1.8832178502152248,1.8914775776284158,317600.0,1000043.0,Quandl WIKI frozen 2018 archive via Kaggle; includes omitted 2018-02-27 USD 0.33 dividend repair,0.07564652071939659,0.07508843102931384,0.0
2003-10-06,25.25,25.49,25.25,25.45,33700.0,WIKI,1.9100746481648,1.9282298131375,1.9100746481648,1.9252039523087,269600.0,857665.0,Quandl WIKI frozen 2018 archive via Kaggle,1.8959828834902106,1.9140041069372904,1.8959828834902106,1.9110005696960937,269600.0,857665.0,Quandl WIKI frozen 2018 archive via Kaggle; includes omitted 2018-02-27 USD 0.33 dividend repair,0.07564652071939881,0.07508843102931606,0.0
2003-10-07,25.45,25.52,25.25,25.52,26000.0,WIKI,1.9252039523087,1.930499208759,1.9100746481648,1.930499208759,208000.0,663520.0,Quandl WIKI frozen 2018 archive via Kaggle,1.9110005696960937,1.9162567598680886,1.8959828834902106,1.9162567598680886,208000.0,663520.0,Quandl WIKI frozen 2018 archive via Kaggle; includes omitted 2018-02-27 USD 0.33 dividend repair,0.07564652071939655,0.07508843102931381,0.0
2003-10-08,25.45,25.55,25.25,25.42,28600.0,WIKI,1.9252039523087,1.9327686043806,1.9100746481648,1.9229345566871,228800.0,727012.0,Quandl WIKI frozen 2018 archive via Kaggle,1.9110005696960937,1.918509412798986,1.8959828834902106,1.9087479167651964,228800.0,727012.0,Quandl WIKI frozen 2018 archive via Kaggle; includes omitted 2018-02-27 USD 0.33 dividend repair,0.0756465207193981,0.07508843102931535,0.0
2003-10-09,25.5,25.59,25.39,25.5,60300.0,WIKI,1.9289862783447,1.9357944652094,1.9206651610655,1.9289862783447,482400.0,1537650.0,Quandl WIKI frozen 2018 archive via Kaggle,1.9147549912475896,1.9215129500401824,1.906495263834299,1.9147549912475896,482400.0,1537650.0,Quandl WIKI frozen 2018 archive via Kaggle; includes omitted 2018-02-27 USD 0.33 dividend repair,0.0756465207194,0.07508843102931724,0.0
2003-10-10,25.45,25.45,25.0,25.09,19800.0,WIKI,1.9252039523087,1.9252039523087,1.891163017985,1.8979712048497,158400.0,496782.0,Quandl WIKI frozen 2018 archive via Kaggle,1.9110005696960937,1.9110005696960937,1.877210775732931,1.8839687345255238,158400.0,496782.0,Quandl WIKI frozen 2018 archive via Kaggle; includes omitted 2018-02-27 USD 0.33 dividend repair,0.07564652071939816,0.07508843102931542,0.0
2003-10-13,25.15,25.58,24.97,25.0,24700.0,WIKI,1.9025099960929,1.9350380000022,1.8888936223634,1.891163017985,197600.0,617500.0,Quandl WIKI frozen 2018 archive via Kaggle,1.8884740403873186,1.9207620657298834,1.8749581228020336,1.877210775732931,197600.0,617500.0,Quandl WIKI frozen 2018 archive via Kaggle; includes omitted 2018-02-27 USD 0.33 dividend repair,0.0756465207194,0.07508843102931724,0.0
2003-10-14,25.0,25.05,24.9,24.93,44700.0,WIKI,1.891163017985,1.8949453440209,1.883598365913,1.8858677615346,357600.0,1114371.0,Quandl WIKI frozen 2018 archive via Kaggle,1.877210775732931,1.8809651972843273,1.8697019326299396,1.871954585560837,357600.0,1114371.0,Quandl WIKI frozen 2018 archive via Kaggle; includes omitted 2018-02-27 USD 0.33 dividend repair,0.07564652071939831,0.07508843102931556,0.0
