Date,Open,High,Low,Close,Adj Close,Volume,Name,Company Name,date,cash_dividend,canonical_factor,vendor_adjustment_factor
2018-03-28,48.97999954223633,49.119998931884766,47.349998474121094,47.560001373291016,43.05082702636719,1947200.0,HFC,HollyFrontier,2018-03-28,0.0,1.0,0.9051897767720395
2018-03-29,48.0,49.029998779296875,47.779998779296875,48.86000061035156,44.227569580078125,1649400.0,HFC,HollyFrontier,2018-03-29,0.0,1.0,0.905189705845153
2018-04-02,48.61000061035156,48.84000015258789,47.7400016784668,48.29999923706055,43.720664978027344,1346500.0,HFC,HollyFrontier,2018-04-02,0.0,1.0,0.9051897653961145
2018-04-03,48.619998931884766,49.75,48.619998931884766,49.689998626708984,44.978878021240234,2048500.0,HFC,HollyFrontier,2018-04-03,0.0,1.0,0.9051897618098048
2018-04-04,48.90999984741211,50.95000076293945,48.7400016784668,50.900001525878906,46.07415771484375,2249300.0,HFC,HollyFrontier,2018-04-04,0.0,1.0,0.9051897118592115
2018-04-05,51.02000045776367,52.86000061035156,51.02000045776367,52.4900016784668,47.51340866088867,2183100.0,HFC,HollyFrontier,2018-04-05,0.0,1.0,0.9051896959717627
2018-04-06,51.849998474121094,53.029998779296875,51.77000045776367,52.2599983215332,47.30521774291992,2514000.0,HFC,HollyFrontier,2018-04-06,0.0,1.0,0.9051898060132215
2018-04-09,53.0099983215332,53.650001525878906,52.790000915527344,52.90999984741211,47.89358901977539,2062300.0,HFC,HollyFrontier,2018-04-09,0.0,1.0,0.9051897402739819
2018-04-10,53.86000061035156,54.7400016784668,53.72999954223633,53.959999084472656,48.84402847290039,2364700.0,HFC,HollyFrontier,2018-04-10,0.0,1.0,0.905189571935252
2018-04-11,54.06999969482422,54.90999984741211,53.65999984741211,54.56999969482422,49.39620590209961,1780300.0,HFC,HollyFrontier,2018-04-11,0.0,1.0,0.9051897778695548
2018-04-12,54.790000915527344,54.93000030517578,53.81999969482422,54.189998626708984,49.05223083496094,1861900.0,HFC,HollyFrontier,2018-04-12,0.0,1.0,0.9051897412446923
2018-04-13,54.95000076293945,55.9900016784668,54.84000015258789,55.709999084472656,50.42811965942383,2474100.0,HFC,HollyFrontier,2018-04-13,0.0,1.0,0.9051897413058658
2018-04-16,56.0,57.38999938964844,55.689998626708984,57.16999816894531,51.74969100952149,2083900.0,HFC,HollyFrontier,2018-04-16,0.0,1.0,0.905189656585154
2018-04-17,57.36000061035156,57.91999816894531,56.790000915527344,57.7599983215332,52.28375244140625,1724500.0,HFC,HollyFrontier,2018-04-17,0.0,1.0,0.9051896461346436
2018-04-18,58.0099983215332,58.869998931884766,57.68000030517578,58.029998779296875,52.52816009521485,2306300.0,HFC,HollyFrontier,2018-04-18,0.0,1.0,0.9051897501323937
2018-04-19,57.95000076293945,58.5099983215332,57.43000030517578,58.2400016784668,52.71825408935547,1341500.0,HFC,HollyFrontier,2018-04-19,0.0,1.0,0.9051897762710248
2018-04-20,58.25,58.4900016784668,57.810001373291016,58.2599983215332,52.73634719848633,1859900.0,HFC,HollyFrontier,2018-04-20,0.0,1.0,0.9051896450020098
2018-04-23,58.380001068115234,59.13999938964844,57.880001068115234,59.08000183105469,53.47861099243164,1972400.0,HFC,HollyFrontier,2018-04-23,0.0,1.0,0.9051897314654661
2018-04-24,59.79999923706055,62.220001220703125,59.58000183105469,60.38999938964844,54.66440963745117,5317800.0,HFC,HollyFrontier,2018-04-24,0.0,1.0,0.905189769662778
2018-04-25,59.5,59.90999984741211,58.5,59.630001068115234,53.976463317871094,2815700.0,HFC,HollyFrontier,2018-04-25,0.0,1.0,0.9051897090562498
2018-04-26,59.56999969482422,62.2400016784668,59.56999969482422,62.11000061035156,56.221336364746094,2143600.0,HFC,HollyFrontier,2018-04-26,0.0,1.0,0.9051897570803753
2018-04-27,61.880001068115234,61.880001068115234,60.20000076293945,60.439998626708984,54.70966720581055,1516900.0,HFC,HollyFrontier,2018-04-27,0.0,1.0,0.9051897493199784
2018-04-30,60.79999923706055,62.20000076293945,60.68000030517578,60.689998626708984,54.93596649169922,3449500.0,HFC,HollyFrontier,2018-04-30,0.0,1.0,0.9051897797790115
2018-05-01,60.310001373291016,60.84000015258789,59.720001220703125,60.459999084472656,54.7277717590332,3117100.0,HFC,HollyFrontier,2018-05-01,0.0,1.0,0.9051897550075947
2018-05-02,61.0,64.91999816894531,60.90999984741211,64.4800033569336,58.36663055419922,4858300.0,HFC,HollyFrontier,2018-05-02,0.0,1.0,0.9051896326851385
2018-05-03,64.30000305175781,66.36000061035156,63.7400016784668,65.62999725341797,59.40760040283203,3693400.0,HFC,HollyFrontier,2018-05-03,0.0,1.0,0.9051897438520481
2018-05-04,65.61000061035156,66.72000122070312,65.06999969482422,66.05000305175781,59.78778076171875,2540300.0,HFC,HollyFrontier,2018-05-04,0.0,1.0,0.9051896744784117
2018-05-07,66.41000366210938,67.47000122070312,65.33000183105469,65.5999984741211,59.38043975830078,2387400.0,HFC,HollyFrontier,2018-05-07,0.0,1.0,0.9051896515169295
2018-05-08,65.6500015258789,67.12999725341797,64.7300033569336,67.0999984741211,60.73823547363281,4147400.0,HFC,HollyFrontier,2018-05-08,0.0,1.0,0.9051898189991485
2018-05-09,67.63999938964844,68.54000091552734,67.4000015258789,67.97000122070312,61.5257453918457,2786300.0,HFC,HollyFrontier,2018-05-09,0.0,1.0,0.9051897055594792
2018-05-10,68.62000274658203,68.73999786376953,67.13999938964844,67.44999694824219,61.05504608154297,2622600.0,HFC,HollyFrontier,2018-05-10,0.0,1.0,0.9051897530609766
