Date,Open,High,Low,Close,Adj Close,Volume,Name,Company Name,date,vendor_factor,vendor_factor_step,inferred_cash_yahoo_convention
2018-05-22,74.9000015258789,75.02999877929688,72.13999938964844,72.94000244140625,66.31578826904297,2908000.0,HFC,HollyFrontier,2018-05-22,0.909182698784736,0.004411347887272932,0.3300128759541044
2018-08-22,71.2300033569336,71.79000091552734,70.83000183105469,71.41000366210938,65.22679138183594,1283100.0,HFC,HollyFrontier,2018-08-22,0.9134125197706118,0.004652458814034199,0.32999891864911174
2018-11-20,60.22999954223633,61.22999954223633,58.650001525878906,59.25,54.407752990722656,2420900.0,HFC,HollyFrontier,2018-11-20,0.9182743120797073,0.005322628936753615,0.33000298792115396
2019-02-26,54.529998779296875,54.849998474121094,53.68000030517578,53.70000076293945,49.61051559448242,1952200.0,HFC,HollyFrontier,2019-02-26,0.9238457148909511,0.006067194836972822,0.3299947663428157
2019-05-17,43.88999938964844,44.27000045776367,42.93000030517578,42.939998626708984,39.96504211425781,1869300.0,HFC,HollyFrontier,2019-05-17,0.9307182904612221,0.007439017865354947,0.3299948605238623
2019-08-21,46.400001525878906,46.90999984741211,44.9900016784668,45.369998931884766,42.53314971923828,2058200.0,HFC,HollyFrontier,2019-08-21,0.9374730156616154,0.007257565697925017,0.33000149589104205
2019-11-26,53.11000061035156,53.279998779296875,52.040000915527344,52.650001525878906,49.68390655517578,2503500.0,HFC,HollyFrontier,2019-11-26,0.9436639148197326,0.00660375740018071,0.3499991378266275
2020-02-21,42.41999816894531,43.2599983215332,41.61000061035156,43.029998779296875,40.94215774536133,2318600.0,HFC,HollyFrontier,2020-02-21,0.9514794075490406,0.008282111220567101,0.35000200860071196
2020-05-22,30.459999084472656,30.670000076293945,29.549999237060547,30.459999084472656,29.31312370300293,1272700.0,HFC,HollyFrontier,2020-05-22,0.96234814786799,0.011423101670894775,0.3500037892961603
2020-08-14,25.010000228881836,26.0,24.719999313354492,25.989999771118164,25.359222412109375,1737600.0,HFC,HollyFrontier,2020-08-14,0.9757299975158233,0.01390554175741121,0.35000245821665626
2020-11-20,22.450000762939453,22.729999542236328,21.90999984741211,22.149999618530273,21.948163986206055,1775700.0,HFC,HollyFrontier,2020-11-20,0.9908877816794468,0.015534823925843044,0.34999957658950864
2021-02-26,37.54999923706055,38.560001373291016,35.959999084472656,37.880001068115234,37.880001068115234,3294200.0,HFC,HollyFrontier,2021-02-26,1.0,0.00919606703283482,0.3500022888183583
