date,close,ex-dividend,split_ratio,adj_close,factor,observed_step,expected_step
2003-12-19,30.5,0.0,1.0,25.207935752737043,0.8264896968110506,1.0,1.0
2003-12-22,30.27,0.0,1.0,25.0178431224705,0.8264896968110506,1.0,1.0
2003-12-23,30.18,0.0,1.0,24.943459049757507,0.8264896968110507,1.0000000000000002,1.0
2003-12-24,29.94,0.0,1.0,24.745101522522855,0.8264896968110506,0.9999999999999999,1.0
2003-12-26,30.56,0.0,1.0,25.257525134545705,0.8264896968110506,1.0,1.0
2003-12-29,31.17,0.0,1.0,25.76168384960045,0.8264896968110506,1.0,1.0
2003-12-30,30.95,0.0,1.0,25.579856116302015,0.8264896968110506,1.0,1.0
2003-12-31,30.68,0.0,1.0,25.35670389816303,0.8264896968110506,1.0,1.0
2004-01-02,29.82,0.0,1.0,24.645922758905527,0.8264896968110506,1.0,1.0
2004-01-05,29.84,0.0,1.0,24.66245255284175,0.8264896968110506,1.0,1.0
2004-01-06,29.66,0.0,1.0,24.51368440741576,0.8264896968110506,1.0,1.0
2004-01-07,29.39,0.0,1.0,24.290532189276774,0.8264896968110504,0.9999999999999999,1.0
2004-01-08,29.5,0.0,1.0,24.38144605592599,0.8264896968110506,1.0000000000000002,1.0
2004-01-09,29.7,0.0,1.0,24.5467439952882,0.8264896968110506,1.0,1.0
2004-01-12,29.89,0.0,1.0,24.7037770376823,0.8264896968110506,1.0,1.0
2004-01-13,30.01,0.0,1.0,24.80295580129963,0.8264896968110506,1.0,1.0
2004-01-14,30.35,0.0,1.0,25.083962298215383,0.8264896968110504,0.9999999999999999,1.0
2004-01-15,32.49,0.0,1.0,26.852650249391033,0.8264896968110506,1.0000000000000002,1.0
2004-01-16,32.74,0.0,1.0,27.059272673593796,0.8264896968110506,1.0,1.0
2004-01-20,32.69,0.0,1.0,27.01794818875324,0.8264896968110506,1.0,1.0
2004-01-21,33.2,0.0,1.0,27.43945793412688,0.8264896968110506,1.0,1.0
2004-01-22,33.27,0.0,1.0,27.497312212903655,0.8264896968110506,1.0,1.0
2004-01-23,33.22,0.0,1.0,27.4559877280631,0.8264896968110506,1.0,1.0
2004-01-26,33.43,0.0,1.0,27.62955056439342,0.8264896968110506,1.0,1.0
2004-01-27,32.91,0.0,1.0,27.19977592205167,0.8264896968110506,1.0,1.0
2004-01-28,32.06,0.0,1.0,26.497259679762283,0.8264896968110506,1.0,1.0
2004-01-29,32.36,0.0,1.0,26.74520658880559,0.8264896968110504,0.9999999999999999,1.0
2004-01-30,32.58,0.0,1.0,26.927034322104024,0.8264896968110506,1.0000000000000002,1.0
2004-02-02,32.25,0.0,1.0,26.65429272215638,0.8264896968110506,1.0,1.0
2004-02-03,32.33,0.0,1.0,26.720411897901265,0.8264896968110506,1.0,1.0
2004-02-04,32.75,0.0,1.0,27.067537570561907,0.8264896968110506,1.0,1.0
2004-02-05,32.63,0.0,1.0,26.968358806944583,0.8264896968110506,1.0,1.0
2004-02-06,33.05,0.0,1.0,27.315484479605217,0.8264896968110506,1.0,1.0
2004-02-09,33.48,0.0,1.0,27.67087504923397,0.8264896968110506,1.0,1.0
2004-02-10,33.3,0.0,1.0,27.52210690380798,0.8264896968110506,1.0,1.0
2004-02-11,33.94,0.0,1.0,28.051060309767053,0.8264896968110506,1.0,1.0
2004-02-12,33.58,0.0,1.0,27.753524018915076,0.8264896968110506,1.0,1.0
2004-02-13,33.06,0.0,1.0,27.323749376573332,0.8264896968110506,1.0,1.0
2004-02-17,33.81,0.0,1.0,27.94361664918162,0.8264896968110506,1.0,1.0
2004-02-18,33.31,0.0,1.0,27.530371800776095,0.8264896968110506,1.0,1.0
2004-02-19,35.41,0.0,1.0,29.266000164079298,0.8264896968110506,1.0,1.0
2004-02-20,34.75,0.0,1.0,28.720516964184007,0.8264896968110506,1.0,1.0
2004-02-23,33.95,0.0,1.0,28.059325206735167,0.8264896968110506,1.0,1.0
2004-02-24,33.78,0.0,1.0,27.918821958277288,0.8264896968110506,1.0,1.0
2004-02-25,34.27,0.0,1.0,28.323801909714707,0.8264896968110506,1.0,1.0
2004-02-26,34.14,0.0,1.0,28.216358249129268,0.8264896968110506,1.0,1.0
2004-02-27,34.56,0.0,1.0,28.56348392178991,0.8264896968110506,1.0,1.0
2004-03-01,35.05,0.0,1.0,28.96846387322732,0.8264896968110506,1.0,1.0
2004-03-02,34.68,0.0,1.0,28.66266268540723,0.8264896968110504,0.9999999999999999,1.0
2004-03-03,34.96,0.0,1.0,28.894079800514326,0.8264896968110506,1.0000000000000002,1.0
2004-03-04,34.7,0.0,1.0,28.679192479343456,0.8264896968110506,1.0,1.0
2004-03-05,34.98,0.0,1.0,28.910609594450545,0.8264896968110506,1.0,1.0
2004-03-08,33.84,0.0,1.0,27.968411340085954,0.8264896968110506,1.0,1.0
2004-03-09,33.3,0.0,1.0,27.52210690380798,0.8264896968110506,1.0,1.0
2004-03-10,32.9,0.0,1.0,27.191511025083564,0.8264896968110506,1.0,1.0
2004-03-11,32.45,0.0,1.0,26.819590661518593,0.8264896968110506,1.0,1.0
2004-03-12,33.03,0.0,1.0,27.298954685669,0.8264896968110506,1.0,1.0
2004-03-15,32.31,0.0,1.0,26.703882103965046,0.8264896968110506,1.0,1.0
2004-03-16,32.41,0.0,1.0,26.786531073646145,0.8264896968110506,1.0,1.0
2004-03-17,32.64,0.0,1.0,26.97662370391269,0.8264896968110506,1.0,1.0
2004-03-18,32.45,0.0,1.0,26.819590661518593,0.8264896968110506,1.0,1.0
2004-03-19,32.13,0.0,1.0,26.555113958539057,0.8264896968110506,1.0,1.0
2004-03-22,31.69,0.0,1.0,26.191458491942193,0.8264896968110506,1.0,1.0
2004-03-23,32.08,0.0,1.0,26.513789473698505,0.8264896968110507,1.0000000000000002,1.0
