date,source,open,high,low,close,volume
2014-08-01,WIKI,137.6,141.62,137.15,141.23,2084800.0
2014-08-01,SheepB,137.6199951171875,138.1199951171875,134.58999633789062,137.10000610351562,2084800.0
2014-08-01,IEX,137.6,141.62,137.15,141.23,1129608.0
2014-08-21,WIKI,142.95,144.77,142.95,143.81,1022000.0
2014-08-21,SheepB,134.55999755859375,135.6300048828125,132.4199981689453,135.0500030517578,1022000.0
2014-08-21,IEX,142.95,144.77,142.95,143.81,544171.0
2015-08-24,WIKI,100.02,105.06,97.97,98.93,2333762.0
2015-08-24,SheepB,100.0199966430664,102.9800033569336,97.97000122070312,98.93000030517578,2333800.0
2015-08-24,IEX,100.02,105.06,97.97,98.93,2333762.0
2015-08-28,WIKI,104.64,110.29,104.84,107.75,1537283.0
2015-08-28,SheepB,104.83999633789062,110.29000091552734,104.83999633789062,107.75,1537300.0
2015-08-28,IEX,104.84,110.29,104.84,107.75,1537283.0
2017-11-08,SheepB,125.58000183105467,127.88999938964844,121.25,125.33999633789062,1480100.0
2017-11-08,IEX,125.58,127.89,121.25,125.34,1480059.0
