date,wiki_dividend,wiki_split_ratio,wiki_close,wiki_factor_ratio,wiki_formula_ratio,wiki_formula_residual,sheepb_factor_ratio,sheepb_implied_cash_diagnostic_only
2006-02-13,0.04,1.0,40.89,1.0009782342871105,1.0009782342871119,-1.3322676295501878e-15,1.0009666593436086,0.04000036151905407
2006-05-11,0.04,1.0,43.59,1.0009176416609387,1.0009176416609313,7.327471962526033e-15,1.0009044142272312,0.04000223965886229
2006-08-11,0.04,1.0,39.28,1.0010183299389093,1.0010183299389002,9.103828801926284e-15,1.0010075183606197,0.04000854549047109
2006-11-13,0.04,1.0,35.77,1.0011182555213922,1.0011182555213867,5.551115123125783e-15,1.0011012654950846,0.03998696280353931
2007-02-13,0.04,1.0,36.89,1.0010843046896398,1.0010843046896178,2.19824158875781e-14,1.0010839798079336,0.03998802842242574
2007-05-11,0.04,1.0,39.21,1.0010201479214624,1.0010201479214487,1.3766765505351941e-14,1.0010350912687358,0.03999593115146719
2007-08-13,0.04,1.0,36.85,1.0010854816824688,1.0010854816824966,-2.7755575615628914e-14,1.0010772106022017,0.03998607239232498
2007-11-13,0.04,1.0,40.22,1.0009945300845449,1.000994530084535,9.769962616701378e-15,1.0010057898420723,0.040000263135798124
2008-02-13,0.06,1.0,45.34,1.001323334803692,1.0013233348037054,-1.3322676295501878e-14,1.0013427637867143,0.059994695367045235
2008-05-13,0.06,1.0,68.66,1.0008738712496437,1.000873871249636,7.771561172376096e-15,1.0008868565809743,0.059986987970438124
2008-08-13,0.06,1.0,54.22,1.0011066027296054,1.00110660272962,-1.4654943925052066e-14,1.0012050264808339,0.06001030706073365
2008-11-12,0.06,1.0,28.7,1.002090592334497,1.0020905923344947,2.220446049250313e-15,1.001949172580231,0.05999554100827392
2009-02-11,0.06,1.0,24.31,1.0024681201151926,1.0024681201151788,1.3766765505351941e-14,1.0023492380750025,0.05999954240672422
2009-05-13,0.06,1.0,27.5,1.0021818181818158,1.0021818181818183,-2.4424906541753444e-15,1.0020413632269891,0.05999567562626513
2009-08-12,0.06,1.0,38.81,1.001545993300704,1.0015459933006956,8.43769498715119e-15,1.001569314111407,0.059994887938270076
2009-11-10,0.06,1.0,46.36,1.0012942191544454,1.0012942191544434,1.9984014443252818e-15,1.001289872135182,0.060017727780262674
2010-02-10,0.06,1.0,54.01,1.001110905387888,1.001110905387891,-3.1086244689504383e-15,1.00110551336518,0.06000725760727994
2010-05-12,0.08,1.0,71.58,1.0011176306230758,1.0011176306230791,-3.3306690738754696e-15,1.0011750027472452,0.07999419815263137
2010-08-11,0.08,1.0,67.54,1.0011844832691754,1.0011844832691739,1.5543122344752192e-15,1.0011225152574859,0.07999044386457581
2010-11-10,0.08,1.0,81.89,1.0009769202588907,1.0009769202588839,6.8833827526759706e-15,1.0009788863663722,0.07998482075122759
2011-02-11,0.08,1.0,105.87,1.000755643714041,1.0007556437139888,5.218048215738236e-14,1.0007577435061226,0.08000256021138123
2011-05-11,0.1,1.0,92.65,1.0010793308149,1.0010793308148949,5.10702591327572e-15,1.00103692832789,0.10001172822810206
2011-08-11,0.1,1.0,68.07,1.0014690759512364,1.0014690759512266,9.769962616701378e-15,1.001519410893273,0.09999244792525265
