date,wiki_open,sheepb_open,open_relative_difference,wiki_high,sheepb_high,high_relative_difference,wiki_low,sheepb_low,low_relative_difference,wiki_close,sheepb_close,close_relative_difference,wiki_volume,sheepb_volume,volume_relative_difference
2003-10-01,19.5,19.5,0.0,20.24,20.239999771118164,-1.1308391001385587e-08,19.5,19.5,0.0,20.21,20.209999084472656,-4.5300709738960165e-08,157100.0,157100.0,0.0
2003-10-02,20.24,20.239999771118164,-1.1308391001385587e-08,20.79,20.790000915527344,4.4036909230271704e-08,20.24,20.239999771118164,-1.1308391001385587e-08,20.79,20.790000915527344,4.4036909230271704e-08,188300.0,188300.0,0.0
2003-10-03,20.79,20.790000915527344,4.4036909230271704e-08,21.15,21.149999618530273,-1.803639360087317e-08,20.65,20.649999618530273,-1.8473110152683603e-08,20.9,20.899999618530273,-1.82521399105795e-08,134900.0,134900.0,0.0
2003-10-06,20.85,20.850000381469727,1.829591012025844e-08,21.43,21.43000030517578,1.424058715393528e-08,20.66,20.65999984741211,-7.385667522008532e-09,21.25,21.25,0.0,117300.0,117300.0,0.0
2003-10-07,21.35,21.350000381469727,1.786743442089289e-08,22.4,22.399999618530273,-1.7029898491394135e-08,21.34,21.34000015258789,7.150323000360004e-09,22.19,22.190000534057617,2.4067490667079028e-08,300000.0,300000.0,0.0
2003-10-08,22.19,22.190000534057617,2.4067490667079028e-08,22.2,22.200000762939453,3.4366641976646406e-08,21.81,21.809999465942383,-2.448682323574758e-08,21.95,21.950000762939453,3.475806176211904e-08,122600.0,122600.0,0.0
2003-10-09,21.95,21.950000762939453,3.475806176211904e-08,22.1,22.100000381469727,1.726107345945138e-08,21.72,21.719999313354492,-3.1613513251649294e-08,21.92,21.920000076293945,3.480563171009976e-09,137000.0,137000.0,0.0
2003-10-10,22.0,22.0,0.0,22.5,22.5,0.0,21.85,21.850000381469727,1.7458568590811296e-08,22.35,22.350000381469727,1.7067996571640265e-08,169000.0,169000.0,0.0
2003-10-13,22.48,22.479999542236328,-2.0363152719582445e-08,22.62,22.6200008392334,3.710138796186868e-08,21.97,21.969999313354492,-3.125377823209874e-08,22.17,22.170000076293945,3.4413145666434275e-09,194100.0,194100.0,0.0
2003-10-14,22.18,22.18000030517578,1.375905234191066e-08,22.18,22.18000030517578,1.375905234191066e-08,21.8,21.799999237060547,-3.499722267541472e-08,21.98,21.979999542236328,-2.0826372737481336e-08,121400.0,121400.0,0.0
2003-10-15,21.98,21.979999542236328,-2.0826372737481336e-08,21.98,21.979999542236328,-2.0826372737481336e-08,21.17,21.170000076293945,3.603870757373784e-09,21.17,21.170000076293945,3.603870757373784e-09,136300.0,136300.0,0.0
2003-10-16,21.18,21.18000030517578,1.4408677140309578e-08,21.42,21.420000076293945,3.561808847862835e-09,21.18,21.18000030517578,1.4408677140309578e-08,21.36,21.36000061035156,2.8574511201640007e-08,119100.0,119100.0,0.0
2003-10-17,21.36,21.36000061035156,2.8574511201640007e-08,21.36,21.36000061035156,2.8574511201640007e-08,20.8,20.799999237060547,-3.667978143440109e-08,20.83,20.829999923706055,-3.6626953692220354e-09,162600.0,162600.0,0.0
2003-10-20,20.82,20.81999969482422,-1.4657818514507426e-08,20.94,20.940000534057617,2.550418409796862e-08,20.75,20.75,0.0,20.8,20.799999237060547,-3.667978143440109e-08,134400.0,134400.0,0.0
