date,wiki_open,sheepb_open,open_relative_difference,wiki_high,sheepb_high,high_relative_difference,wiki_low,sheepb_low,low_relative_difference,wiki_close,sheepb_close,close_relative_difference,wiki_volume,sheepb_volume,volume_relative_difference
2014-08-21,142.95,134.55999755859375,-0.058691867376049256,144.77,135.6300048828125,-0.06313459361184992,142.95,132.4199981689453,-0.07366213243130237,143.81,135.0500030517578,-0.06091368436299416,1022000.0,1022000.0,0.0
2005-04-18,35.0,33.849998474121094,-0.032857186453683074,35.47,35.470001220703125,3.441508678037053e-08,33.8,33.79999923706055,-2.2572173130619433e-08,35.2,35.20000076293945,2.1674416261774354e-08,1117300.0,1117300.0,0.0
2014-08-01,137.6,137.6199951171875,0.00014531335165335335,141.62,138.1199951171875,-0.024714057921285892,137.15,134.58999633789062,-0.01866572119656862,141.23,137.10000610351562,-0.029243035449156407,2084800.0,2084800.0,0.0
2008-05-06,66.51,64.75,-0.026462186137423016,69.02,69.0199966430664,-4.863711378089164e-08,64.75,64.75,0.0,67.98,67.9800033569336,4.938119424480192e-08,3018700.0,3018700.0,0.0
2010-03-19,59.27,57.900001525878906,-0.023114534741371595,59.34,59.34000015258789,2.57141707926678e-09,56.81,56.810001373291016,2.41734028350038e-08,57.9,57.900001525878906,2.635369433789947e-08,1133100.0,1133100.0,0.0
2006-02-17,44.39,43.5099983215332,-0.019824322560639707,44.76,44.7599983215332,-3.749925814311439e-08,43.51,43.5099983215332,-3.857657537853498e-08,44.32,44.31999969482422,-6.885735093220546e-09,1102400.0,1102400.0,0.0
2015-08-24,100.02,100.0199966430664,-3.3562623347194176e-08,105.06,102.9800033569336,-0.01979817859381694,97.97,97.97000122070312,1.2459968612432704e-08,98.93,98.93000030517578,3.084764665928219e-09,2333762.0,2333800.0,1.6282722916871606e-05
2008-12-19,26.56,26.040000915527344,-0.019578278782856007,27.04,27.040000915527344,3.38582597514403e-08,25.66,25.65999984741211,-5.94652727059497e-09,25.89,25.88999938964844,-2.3574799556946857e-08,1524300.0,1524300.0,0.0
2008-06-20,70.0,70.98999786376953,0.014142826625278992,71.95,71.94999694824219,-4.2414980083727016e-08,69.75,69.75,0.0,69.95,69.94999694824219,-4.3627702894788456e-08,1189600.0,1189600.0,0.0
2006-01-18,46.84,46.84000015258789,3.257640601717071e-09,46.84,46.84000015258789,3.257640601717071e-09,45.31,45.310001373291016,3.030878414911342e-08,46.62,46.0099983215332,-0.013084549087661879,1182600.0,1182600.0,0.0
