date,sheepb_Close,sheepb_Adj_Close,sheepb_factor,factor_rebased_to_2018_03_27_DIAGNOSTIC,wiki_close,wiki_adj_close,wiki_dividend
2017-09-13,106.66999816894533,100.1765594482422,0.9391259132636458,0.9985423459832682,106.67,106.51029942921,0.0
2017-09-14,106.70999908447266,100.214111328125,0.939125781912851,0.9985422063221973,106.71,106.71,0.16
2017-11-13,121.87000274658205,114.45127868652344,0.9391259219425375,0.9985423552112543,121.87,121.87,0.0
2017-11-14,117.5199966430664,110.4385757446289,0.9397428429142548,0.9991983074171136,117.52,117.52,0.0
2018-02-13,99.77999877929688,93.76751708984376,0.939742616125381,0.9991980662798061,99.78,99.78,0.0
2018-02-14,102.19000244140624,96.10935974121094,0.9404966967910405,0.9999998559720227,102.19,102.19,0.0
2018-03-27,93.62999725341795,88.0587158203125,0.9404968322488969,1.0,93.63,93.63,0.0
2018-03-28,92.75,87.23108673095703,0.9404968919779734,1.000000063508004,,,
2020-03-02,32.720001220703125,31.554424285888672,0.9643772343725663,1.0253912626867303,,,
2020-03-09,15.06999969482422,14.533164978027344,0.9643772576199021,1.0253912874048738,,,
2020-03-10,17.719999313354492,17.08876609802246,0.9643773566708713,1.0253913927225802,,,
2021-08-19,58.540000915527344,58.540000915527344,1.0,1.0632678024112217,,,
