date,issuer_close,filing_year,source,nominal_close,adjusted_close,nominal_absolute_difference,matches_at_reported_cent_precision
2017-06-30,256.69,2017,wiki,256.69,256.09071476676,0.0,True
2017-06-30,256.69,2017,sheepb,256.69000244140625,241.9510803222656,2.4414062522737368e-06,True
2017-06-30,256.69,2017,canonical,256.69,256.09071476676,0.0,True
2018-02-21,239.59,2017,wiki,239.59,239.59,0.0,True
2018-02-21,239.59,2017,sheepb,239.58999633789065,227.38458251953125,-3.6621093499888957e-06,True
2018-02-21,239.59,2017,canonical,239.59,239.59,0.0,True
2019-06-28,140.13,2019,sheepb,140.1300048828125,135.12457275390625,4.8828125045474735e-06,True
2020-02-20,103.06,2019,sheepb,103.05999755859376,101.08116912841795,-2.441406238062882e-06,True
