ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,factor
KRFT,2015-03-25,81.45,87.88,80.12,83.17,99898967.0,0.0,1.0,80.9462611042393,87.3364938715844,79.62448667491286,82.6556235241201,99898967.0,0.993815360395817
KRFT,2015-03-26,82.0,85.54,82.0,84.39,27038964.0,0.0,1.0,81.49285955245699,85.01096592825819,81.49285955245699,83.868078263803,27038964.0,0.9938153603958171
KRFT,2015-03-27,83.63,89.84,83.56,89.1,28934755.0,0.0,1.0,83.11277858990216,89.2843719779602,83.04321151467447,88.54894861126729,28934755.0,0.9938153603958171
KRFT,2015-03-30,88.56,90.61,87.36,90.61,20094048.0,0.0,1.0,88.01228831665355,90.04960980546498,86.81970988417856,90.04960980546498,20094048.0,0.9938153603958171
KRFT,2015-03-31,89.62,90.0,86.51,87.115,20914864.0,0.0,1.0,89.06573259867312,89.44338243562353,85.97496682784214,86.57622512088159,20914864.0,0.993815360395817
KRFT,2015-04-01,86.5,90.75,85.86,90.7,14499542.0,0.0,1.0,85.96502867423817,90.1887439559204,85.32898684358484,90.1390531879006,14499542.0,0.993815360395817
KRFT,2015-04-02,90.0,91.32,88.34,88.95,16530160.0,0.0,1.0,89.44338243562353,90.755218711346,87.79364893736647,88.39987630720792,16530160.0,0.993815360395817
KRFT,2015-04-06,88.4,89.18,88.1,88.76,12016233.0,0.0,1.0,87.85327785899023,88.62845384009897,87.55513325087146,88.21105138873271,12016233.0,0.9938153603958169
KRFT,2015-04-07,88.3,90.2,87.67,89.34,8939360.0,0.0,1.0,87.75389632295064,89.6421455077027,87.12779264590128,88.7874642977623,8939360.0,0.9938153603958171
KRFT,2015-04-08,88.5,88.93,87.495,88.38,7540950.0,0.55,1.0,88.5,88.93,87.495,88.38,7540950.0,1.0
KRFT,2015-04-09,87.95,89.5,87.33,89.4,6802748.0,0.0,1.0,87.95,89.5,87.33,89.4,6802748.0,1.0
KRFT,2015-04-10,88.81,89.4,88.2,89.27,3732609.0,0.0,1.0,88.81,89.4,88.2,89.27,3732609.0,1.0
KRFT,2015-04-13,88.89,88.95,87.59,88.37,4968829.0,0.0,1.0,88.89,88.95,87.59,88.37,4968829.0,1.0
KRFT,2015-04-14,87.77,88.06,87.03,87.155,4154669.0,0.0,1.0,87.77,88.06,87.03,87.155,4154669.0,1.0
KRFT,2015-04-15,86.57,87.4474,86.35,86.86,4309650.0,0.0,1.0,86.57,87.4474,86.35,86.86,4309650.0,1.0
KRFT,2015-04-16,86.3,87.24,86.1,87.05,3373350.0,0.0,1.0,86.3,87.24,86.1,87.05,3373350.0,1.0
KRFT,2015-04-17,86.07,87.12,86.0,86.73,4061207.0,0.0,1.0,86.07,87.12,86.0,86.73,4061207.0,1.0
KRFT,2015-04-20,86.8,87.89,86.62,87.63,3281569.0,0.0,1.0,86.8,87.89,86.62,87.63,3281569.0,1.0
KRFT,2015-04-21,87.63,89.0,87.31,88.47,2906968.0,0.0,1.0,87.63,89.0,87.31,88.47,2906968.0,1.0
KRFT,2015-04-22,88.27,88.64,87.53,88.25,3199078.0,0.0,1.0,88.27,88.64,87.53,88.25,3199078.0,1.0
KRFT,2015-04-23,87.8,88.4,87.56,88.38,3637762.0,0.0,1.0,87.8,88.4,87.56,88.38,3637762.0,1.0
KRFT,2015-04-24,88.46,88.86,87.501,87.57,2999733.0,0.0,1.0,88.46,88.86,87.501,87.57,2999733.0,1.0
KRFT,2015-04-27,87.55,87.55,85.74,85.87,4672781.0,0.0,1.0,87.55,87.55,85.74,85.87,4672781.0,1.0
KRFT,2015-04-28,85.61,86.56,85.43,85.88,5490202.0,0.0,1.0,85.61,86.56,85.43,85.88,5490202.0,1.0
KRFT,2015-04-29,86.11,86.47,84.96,85.08,3428273.0,0.0,1.0,86.11,86.47,84.96,85.08,3428273.0,1.0
KRFT,2015-04-30,84.09,85.12,83.98,84.75,3730580.0,0.0,1.0,84.09,85.12,83.98,84.75,3730580.0,1.0
KRFT,2015-05-01,84.87,85.91,84.501,84.675,2535521.0,0.0,1.0,84.87,85.91,84.501,84.675,2535521.0,1.0
KRFT,2015-05-04,84.31,85.15,83.75,84.29,4430571.0,0.0,1.0,84.31,85.15,83.75,84.29,4430571.0,1.0
KRFT,2015-05-05,84.11,84.525,83.4,84.355,4743851.0,0.0,1.0,84.11,84.525,83.4,84.355,4743851.0,1.0
