date,Close,Adj Close,factor,factor_change
2016-11-01,201.7400054931641,189.3391571044922,0.9385305440120447,0.002549676121688327
2017-02-13,227.80999755859375,214.29751586914065,0.9406852998803197,0.0022958262660142115
2017-05-11,251.1000061035156,236.6820831298828,0.9425809533127251,0.00201519086678692
2017-08-10,222.2100067138672,209.92051696777344,0.9446942559975774,0.0022420989118665524
2017-11-13,224.1999969482422,212.2901153564453,0.9468783151029821,0.0023118928957757134
2018-02-13,246.2599945068359,233.71478271484375,0.9490570451074873,0.0023009285626443
2018-05-11,208.0500030517578,197.99740600585935,0.9516818221656184,0.0027656732512413296
2018-08-13,227.36000061035156,216.9163055419922,0.9540653807163832,0.0025045801403715817
2018-11-13,205.27000427246097,196.3905792236328,0.9567427053928336,0.002806179950216814
2019-02-20,173.4199981689453,166.5183563232422,0.9602027337182903,0.00361661971477667
2019-05-13,142.32000732421875,137.23635864257812,0.9642801544405518,0.004246542282682952
2019-09-03,122.0500030517578,118.2965316772461,0.9692464458774329,0.005150316158133883
2019-11-13,107.18000030517578,104.48910522460938,0.9748936828428385,0.005826278963865228
2020-02-13,103.48999786376952,101.5029067993164,0.9807991969710074,0.006057627063850823
2020-05-13,37.060001373291016,36.53801727294922,0.9859151624123256,0.005216051018307688
2020-08-13,47.11000061035156,46.6512451171875,0.9902620359324882,0.00440885040108685
2020-11-12,61.959999084472656,61.557430267333984,0.9935027627003378,0.003272537305130996
2021-02-11,83.54000091552734,83.20100402832031,0.9959421009876477,0.0024553190009826142
2021-05-13,115.95999908447266,115.70222473144533,0.9977770407462702,0.0018424141478501355
2021-08-12,93.19000244140624,93.19000244140624,1.0,0.002227870567721224
