date,Open,High,Low,Close,Adj Close,Volume,factor,factor_change
2018-05-11,206.77999877929688,208.72000122070312,206.77999877929688,208.0500030517578,197.99740600585935,487300.0,0.9516818221656184,0.0027656732512413296
2018-08-13,227.8000030517578,229.8800048828125,226.5800018310547,227.36000061035156,216.9163055419922,258500.0,0.9540653807163832,0.0025045801403715817
2018-11-13,204.44000244140625,207.66000366210935,202.8500061035156,205.27000427246097,196.3905792236328,256000.0,0.9567427053928336,0.002806179950216814
2019-02-20,174.47000122070312,175.27000427246094,171.67999267578125,173.4199981689453,166.5183563232422,475300.0,0.9602027337182903,0.00361661971477667
2019-05-13,144.3800048828125,145.82000732421875,142.07000732421875,142.32000732421875,137.23635864257812,403500.0,0.9642801544405518,0.004246542282682952
2019-09-03,122.6999969482422,122.91999816894533,118.4000015258789,122.0500030517578,118.2965316772461,1474100.0,0.9692464458774329,0.005150316158133883
2019-11-13,107.5,107.86000061035156,106.12000274658205,107.18000030517578,104.48910522460938,548000.0,0.9748936828428385,0.005826278963865228
2020-02-13,103.55999755859376,103.98999786376952,102.58000183105467,103.48999786376952,101.5029067993164,559800.0,0.9807991969710074,0.006057627063850823
2020-05-13,40.08000183105469,40.08000183105469,36.13999938964844,37.060001373291016,36.53801727294922,2240700.0,0.9859151624123256,0.005216051018307688
2020-08-13,46.95000076293945,48.369998931884766,46.459999084472656,47.11000061035156,46.6512451171875,535700.0,0.9902620359324882,0.00440885040108685
2020-11-12,62.959999084472656,63.56999969482422,60.380001068115234,61.959999084472656,61.557430267333984,1140100.0,0.9935027627003378,0.003272537305130996
2021-02-11,85.3499984741211,86.79000091552734,82.16000366210938,83.54000091552734,83.20100402832031,655300.0,0.9959421009876477,0.0024553190009826142
2021-05-13,113.5,117.63999938964844,112.3499984741211,115.95999908447266,115.70222473144533,926200.0,0.9977770407462702,0.0018424141478501355
2021-08-12,94.0199966430664,94.8000030517578,91.5,93.19000244140624,93.19000244140624,340700.0,1.0,0.002227870567721224
