Date,Open,High,Low,Close,Adj Close,Volume,date
2015-09-22,27.049999,27.48,26.620001,26.83,26.83,0.0,2015-09-22
2017-09-01,16.969999,17.0,16.58,16.860001,16.860001,0.0,2017-09-01
