Date,Open_twitter2022,High_twitter2022,Low_twitter2022,Close_twitter2022,Adj Close_twitter2022,Volume_twitter2022,Open_sheepb2021,High_sheepb2021,Low_sheepb2021,Close_sheepb2021,Adj Close_sheepb2021,Volume_sheepb2021,Name,Company Name
2021-04-28,65.550003,66.557503,63.7425,65.699997,65.699997,13340301.0,65.55000305175781,66.55999755859375,63.7400016784668,65.69999694824219,65.69999694824219,13340300.0,TWTR,Twitter
2021-04-29,67.010002,67.050003,63.985001,65.089996,65.089996,31017677.0,67.01000213623047,67.05000305175781,63.9900016784668,65.08999633789062,65.08999633789062,31017700.0,TWTR,Twitter
2021-04-30,56.0,57.630001,55.049999,55.220001,55.220001,88378799.0,56.0,57.630001068115234,55.04999923706055,55.220001220703125,55.220001220703125,88378800.0,TWTR,Twitter
2021-05-03,55.52,55.549999,52.669998,54.580002,54.580002,79648970.0,55.52000045776367,55.54999923706055,52.66999816894531,54.58000183105469,54.58000183105469,79649000.0,TWTR,Twitter
2021-05-04,55.07,55.720001,53.16,54.400002,54.400002,30404484.0,55.06999969482422,55.720001220703125,53.15999984741211,54.400001525878906,54.400001525878906,30404500.0,TWTR,Twitter
2021-05-06,53.48,53.84,52.34,53.810001,53.810001,19586930.0,53.47999954223633,53.84000015258789,52.34000015258789,53.810001373291016,53.810001373291016,19586900.0,TWTR,Twitter
2021-05-07,54.77,54.919998,53.369999,53.790001,53.790001,21748560.0,54.77000045776367,54.91999816894531,53.369998931884766,53.790000915527344,53.790000915527344,21748600.0,TWTR,Twitter
2021-05-10,53.009998,53.080002,51.619999,51.810001,51.810001,17362305.0,53.0099983215332,53.08000183105469,51.619998931884766,51.810001373291016,51.810001373291016,17362300.0,TWTR,Twitter
2021-05-11,49.52,53.186501,49.200001,52.880001,52.880001,16749949.0,49.52000045776367,53.189998626708984,49.20000076293945,52.880001068115234,52.880001068115234,16749900.0,TWTR,Twitter
2021-05-12,51.869999,52.380001,50.060001,50.700001,50.700001,17223215.0,51.869998931884766,52.380001068115234,50.060001373291016,50.70000076293945,50.70000076293945,17223200.0,TWTR,Twitter
