date,open,high,low,close,volume,as_traded_close,dollar_volume,adjusted,source,downloaded_at
2018-03-28,47.40999984741211,49.11000061035156,47.27000045776367,47.900001525878906,1170400.0,47.900001525878906,56062161.78588867,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-03-29,48.11000061035156,48.97999954223633,47.939998626708984,48.40999984741211,1158100.0,48.40999984741211,56063620.823287964,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-04-02,48.290000915527344,48.95000076293945,46.709999084472656,47.529998779296875,2278700.0,47.529998779296875,108306608.21838379,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-04-03,47.63999938964844,48.220001220703125,47.52000045776367,48.20000076293945,1119300.0,48.20000076293945,53950260.85395813,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-04-04,47.59000015258789,49.5,47.560001373291016,49.41999816894531,1174000.0,49.41999816894531,58019077.8503418,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-04-05,49.54999923706055,50.13999938964844,49.16999816894531,50.06999969482422,764100.0,50.06999969482422,38258486.766815186,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-04-06,49.650001525878906,49.95000076293945,47.650001525878906,48.029998779296875,1309000.0,48.029998779296875,62871268.40209961,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-04-09,48.369998931884766,48.72999954223633,47.58000183105469,48.029998779296875,1643100.0,48.029998779296875,78918090.9942627,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-04-10,48.56999969482422,49.66999816894531,48.540000915527344,49.470001220703125,1478500.0,49.470001220703125,73141396.80480957,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-04-11,49.040000915527344,49.81999969482422,48.880001068115234,49.0099983215332,940300.0,49.0099983215332,46084101.42173767,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-04-12,49.02000045776367,49.41999816894531,48.099998474121094,48.369998931884766,1106500.0,48.369998931884766,53521403.81813049,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-04-13,48.63999938964844,48.779998779296875,47.150001525878906,47.38999938964844,1536800.0,47.38999938964844,72828951.06201172,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-04-16,47.65999984741211,48.04999923706055,47.0,47.849998474121094,1348600.0,47.849998474121094,64530507.94219971,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-04-17,48.25,48.34000015258789,47.06999969482422,47.150001525878906,1386500.0,47.150001525878906,65373477.1156311,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-04-18,47.38999938964844,48.119998931884766,47.22999954223633,47.279998779296875,1022100.0,47.279998779296875,48324886.752319336,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-04-19,47.060001373291016,47.11000061035156,45.810001373291016,46.720001220703125,1652700.0,46.720001220703125,77214146.01745605,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
2018-04-20,46.7599983215332,47.869998931884766,46.529998779296875,46.779998779296875,1327700.0,46.779998779296875,62109804.37927246,True,SheepB stock-market-dataset-20002021 v1; nominal OHLCV with canonical WIKI dividend return factors,2026-09-06 18:47:26.777046+00:00
